"","015760","051600","071320"
"2016-05-19",61000,73100,71600
"2016-05-20",60100,73600,70500
"2016-05-23",59900,73500,70500
"2016-05-24",59600,73600,69200
"2016-05-25",61800,74000,68800
"2016-05-26",62200,73300,70500
"2016-05-27",62600,71400,69700
"2016-05-30",63000,70000,69700
"2016-05-31",62900,70300,69900
"2016-06-01",60400,69700,70700
"2016-06-02",59800,70800,71000
"2016-06-03",60100,70400,71800
"2016-06-07",60000,70400,70900
"2016-06-08",60500,72800,70900
"2016-06-09",60900,71800,71000
"2016-06-10",62100,72200,71000
"2016-06-13",60200,71200,70500
"2016-06-14",59700,70600,66100
"2016-06-15",57800,67000,65400
"2016-06-16",58200,65100,63700
"2016-06-17",58600,65300,64900
"2016-06-20",59900,65600,67400
"2016-06-21",58600,64500,66400
"2016-06-22",59200,64700,67500
"2016-06-23",58500,63200,66700
"2016-06-24",57400,63400,64600
"2016-06-27",58200,63000,66500
"2016-06-28",59300,63200,65600
"2016-06-29",60100,64300,66000
"2016-06-30",60400,64800,65100
"2016-07-01",59400,65400,65500
"2016-07-04",59000,66200,65400
"2016-07-05",59100,65900,64500
"2016-07-06",59100,65500,63400
"2016-07-07",59000,65900,62700
"2016-07-08",59600,65800,62700
"2016-07-11",60300,65200,62800
"2016-07-12",59600,66400,64000
"2016-07-13",59600,65600,63800
"2016-07-14",59600,65700,64200
"2016-07-15",60300,65600,64400
"2016-07-18",60400,65600,65800
"2016-07-19",60500,65700,66000
"2016-07-20",60400,65000,66200
"2016-07-21",61200,65000,66000
"2016-07-22",61000,64500,66000
"2016-07-25",61500,63800,65400
"2016-07-26",62300,63900,66200
"2016-07-27",61800,65600,66300
"2016-07-28",61600,69800,66500
"2016-07-29",61300,68600,67100
"2016-08-01",61200,70500,67200
"2016-08-02",62800,70300,66400
"2016-08-03",62900,68400,65500
"2016-08-04",61300,68800,66900
"2016-08-05",61100,69700,67400
"2016-08-08",61200,70000,66800
"2016-08-09",61200,70900,66100
"2016-08-10",62600,71300,67100
"2016-08-11",60600,70600,67800
"2016-08-12",59200,71000,67800
"2016-08-16",58900,70900,67500
"2016-08-17",58400,69400,66600
"2016-08-18",58200,69600,66600
"2016-08-19",57400,66200,66400
"2016-08-22",57400,65100,65000
"2016-08-23",57600,64100,64600
"2016-08-24",57200,64400,64400
"2016-08-25",58700,65200,64500
"2016-08-26",59100,66200,64300
"2016-08-29",58100,64800,63100
"2016-08-30",57600,64000,63000
"2016-08-31",58000,64400,64600
"2016-09-01",57500,64000,64200
"2016-09-02",57100,63500,63900
"2016-09-05",57200,63200,63900
"2016-09-06",57400,63200,63700
"2016-09-07",58500,62900,63600
"2016-09-08",58700,63000,64000
"2016-09-09",59700,63500,63600
"2016-09-12",58900,63400,63700
"2016-09-13",57900,62500,63600
"2016-09-19",57800,61700,63800
"2016-09-20",58600,61100,64200
"2016-09-21",59500,62100,64300
"2016-09-22",59100,59600,64900
"2016-09-23",60000,60000,66700
"2016-09-26",58500,59400,66700
"2016-09-27",58600,59000,67100
"2016-09-28",57400,58900,66500
"2016-09-29",55600,58400,66600
"2016-09-30",54000,57800,65700
"2016-10-04",54500,57500,66300
"2016-10-05",53800,56600,65900
"2016-10-06",52500,56100,65700
"2016-10-07",51600,53700,65300
"2016-10-10",50500,55000,66200
"2016-10-11",51000,55100,66900
"2016-10-12",50500,56800,66800
"2016-10-13",50600,56300,66600
"2016-10-14",51600,55300,67000
"2016-10-17",52900,53900,66800
"2016-10-18",52700,54800,67100
"2016-10-19",52000,53600,67800
"2016-10-20",51800,54700,68100
"2016-10-21",52700,57000,69200
"2016-10-24",51100,57000,70100
"2016-10-25",50100,56700,69100
"2016-10-26",50800,56500,68100
"2016-10-27",51000,55500,68800
"2016-10-28",49550,54200,68500
"2016-10-31",49250,54900,69000
"2016-11-01",49400,54000,70300
"2016-11-02",48950,53300,69200
"2016-11-03",48700,54500,69500
"2016-11-04",47350,56500,67800
"2016-11-07",46000,55500,67600
"2016-11-08",46250,56000,68600
"2016-11-09",46000,54600,66700
"2016-11-10",46200,56200,68900
"2016-11-11",45800,55800,69000
"2016-11-14",45750,55300,69300
"2016-11-15",47850,55200,69500
"2016-11-16",47300,57200,69900
"2016-11-17",46800,60900,69900
"2016-11-18",46450,60500,69400
"2016-11-21",47350,59400,68800
"2016-11-22",46650,59000,68700
"2016-11-23",47200,57200,68600
"2016-11-24",47200,58600,68900
"2016-11-25",47250,59100,69100
"2016-11-28",47600,58200,69300
"2016-11-29",47100,57300,69100
"2016-11-30",46500,57700,69600
"2016-12-01",44500,58800,69300
"2016-12-02",43450,57200,69100
"2016-12-05",43200,56300,69400
"2016-12-06",44350,57100,69500
"2016-12-07",43800,57100,69600
"2016-12-08",44300,57000,70000
"2016-12-09",45900,56200,70300
"2016-12-12",45250,58600,70900
"2016-12-13",45650,59700,70200
"2016-12-14",46400,59200,69500
"2016-12-15",46300,59200,70500
"2016-12-16",46100,57100,71300
"2016-12-19",45700,57400,71700
"2016-12-20",45450,58000,72000
"2016-12-21",45400,57700,71900
"2016-12-22",45350,56700,71600
"2016-12-23",45950,57000,71800
"2016-12-26",46350,56200,72000
"2016-12-27",47000,55600,72900
"2016-12-28",45050,54400,69200
"2016-12-29",44050,54200,68100
"2017-01-02",43900,53600,67400
"2017-01-03",44100,54500,66300
"2017-01-04",43900,56100,64600
"2017-01-05",44250,56300,64800
"2017-01-06",44150,55800,64900
"2017-01-09",43150,55200,64800
"2017-01-10",42250,54500,64500
"2017-01-11",43200,54500,64400
"2017-01-12",43850,55700,65000
"2017-01-13",44600,55900,65500
"2017-01-16",44400,56400,64900
"2017-01-17",44150,56200,64200
"2017-01-18",43600,56200,65500
"2017-01-19",43350,56300,65900
"2017-01-20",43250,56600,66500
"2017-01-23",42900,56300,66400
"2017-01-24",43750,56200,66200
"2017-01-25",43600,54900,66000
"2017-01-26",43250,54800,66400
"2017-01-31",42450,54700,66500
"2017-02-01",42450,54700,66800
"2017-02-02",42050,53800,66100
"2017-02-03",41950,53400,65300
"2017-02-06",41350,53800,64500
"2017-02-07",41300,54100,64100
"2017-02-08",40600,53800,64000
"2017-02-09",40350,54800,64800
"2017-02-10",41300,53000,64600
"2017-02-13",41800,54000,65100
"2017-02-14",41150,53900,66500
"2017-02-15",40900,54600,66400
"2017-02-16",40450,54100,65500
"2017-02-17",40600,56000,65600
"2017-02-20",43050,56500,65200
"2017-02-21",43000,56800,65800
"2017-02-22",43200,57200,66200
"2017-02-23",43350,57100,66000
"2017-02-24",43550,59500,66200
"2017-02-27",44100,61000,66400
"2017-02-28",43600,60900,66500
"2017-03-02",43150,60200,66400
"2017-03-03",42950,60300,65900
"2017-03-06",42500,60200,65900
"2017-03-07",42050,63100,65900
"2017-03-08",41550,62500,65900
"2017-03-09",41500,61000,65900
"2017-03-10",41600,60600,65500
"2017-03-13",42800,60200,64900
"2017-03-14",42850,59600,64900
"2017-03-15",43200,59200,64800
"2017-03-16",43700,58500,64600
"2017-03-17",44350,59300,64600
"2017-03-20",45600,58600,65600
"2017-03-21",45900,57800,65900
"2017-03-22",47200,60400,65800
"2017-03-23",48750,62500,66000
"2017-03-24",47450,61900,65900
"2017-03-27",47450,62300,65400
"2017-03-28",46700,62200,65900
"2017-03-29",46500,61400,67000
"2017-03-30",46600,62700,67000
"2017-03-31",46450,62400,66900
"2017-04-03",46700,60300,66000
"2017-04-04",45700,60500,66600
"2017-04-05",46100,60700,66000
"2017-04-06",45650,61200,66600
"2017-04-07",45050,61300,66400
"2017-04-10",44550,60400,66600
"2017-04-11",44900,60500,66800
"2017-04-12",44550,59400,66700
"2017-04-13",45400,58700,66800
"2017-04-14",44650,59300,66800
"2017-04-17",44900,59500,66700
"2017-04-18",45300,59500,66700
"2017-04-19",44400,59400,67400
"2017-04-20",44250,59400,68000
"2017-04-21",44150,59000,68700
"2017-04-24",44300,57200,69700
"2017-04-25",44450,57400,71000
"2017-04-26",44700,58000,70100
"2017-04-27",45650,58300,70500
"2017-04-28",45350,57400,70600
"2017-05-02",44750,56500,70600
"2017-05-04",44450,58800,69900
"2017-05-08",45800,57300,70800
"2017-05-10",43150,57600,69700
"2017-05-11",43050,57100,70700
"2017-05-12",43250,56000,72200
"2017-05-15",43200,54600,72200
"2017-05-16",41950,53000,72400
"2017-05-17",42750,51400,74100
"2017-05-18",42000,51300,74200
"2017-05-19",42250,51200,72900
"2017-05-22",42000,51600,72100
"2017-05-23",42150,51300,72800
"2017-05-24",42600,52400,72800
"2017-05-25",42600,51300,76300
"2017-05-26",42450,52700,75100
"2017-05-29",42100,52600,75100
"2017-05-30",42250,52700,75400
"2017-05-31",42700,53000,73700
"2017-06-01",44000,53600,74700
"2017-06-02",43450,53500,77100
"2017-06-05",43000,53300,79200
"2017-06-07",43000,53600,79700
"2017-06-08",43600,53000,78500
"2017-06-09",43650,52700,79300
"2017-06-12",44000,52900,79000
"2017-06-13",43650,53500,78900
"2017-06-14",42850,52100,78900
"2017-06-15",43200,52300,77800
"2017-06-16",43400,52000,78300
"2017-06-19",42050,49050,77100
"2017-06-20",41200,47400,77400
"2017-06-21",41750,47500,78200
"2017-06-22",42100,46650,78200
"2017-06-23",42350,47900,76400
"2017-06-26",42150,47300,76200
"2017-06-27",41550,46250,75700
"2017-06-28",40800,44950,75900
"2017-06-29",40850,44300,77900
"2017-06-30",40800,44150,78200
"2017-07-03",40700,45300,76200
"2017-07-04",41300,45400,75700
"2017-07-05",42000,45550,75000
"2017-07-06",42100,44800,73400
"2017-07-07",42500,44750,74500
"2017-07-10",41800,45050,74300
"2017-07-11",42500,44650,74300
"2017-07-12",42050,44650,73000
"2017-07-13",41800,44550,73000
"2017-07-14",41950,40800,73500
"2017-07-17",42400,41550,73600
"2017-07-18",42650,43050,74200
"2017-07-19",42850,43650,74900
"2017-07-20",44250,43650,76700
"2017-07-21",45500,43900,76500
"2017-07-24",45450,43300,77000
"2017-07-25",45350,43000,77200
"2017-07-26",45150,44800,78000
"2017-07-27",45200,44450,77200
"2017-07-28",44950,45050,77200
"2017-07-31",44550,45000,77400
"2017-08-01",44900,47050,80600
"2017-08-02",44200,47100,80700
"2017-08-03",44200,47750,78300
"2017-08-04",44450,48150,78700
"2017-08-07",44050,48900,78900
"2017-08-08",44550,49500,77900
"2017-08-09",44150,47700,77200
"2017-08-10",44450,48950,76200
"2017-08-11",43850,48250,76200
"2017-08-14",43500,47950,76900
"2017-08-16",43950,47500,76700
"2017-08-17",44300,47500,78600
"2017-08-18",44850,46700,78500
"2017-08-21",44200,45600,79000
"2017-08-22",43800,45200,78800
"2017-08-23",44000,46800,77000
"2017-08-24",43950,46450,77900
"2017-08-25",44250,46000,77100
"2017-08-28",44350,46550,77200
"2017-08-29",43850,46150,77000
"2017-08-30",43950,46100,76300
"2017-08-31",42900,45750,76500
"2017-09-01",43100,44950,75500
"2017-09-04",42550,44500,74000
"2017-09-05",42350,46200,73500
"2017-09-06",41800,44650,73900
"2017-09-07",41750,44750,75900
"2017-09-08",41200,44200,75500
"2017-09-11",40950,42900,74600
"2017-09-12",41050,43150,75500
"2017-09-13",40850,42550,76000
"2017-09-14",41050,43050,74700
"2017-09-15",41200,42750,76100
"2017-09-18",41150,42500,76200
"2017-09-19",40150,43150,74500
"2017-09-20",39350,41550,74600
"2017-09-21",39250,41350,74300
"2017-09-22",39150,40500,73900
"2017-09-25",38400,39500,72700
"2017-09-26",38500,40050,72400
"2017-09-27",38200,41750,72400
"2017-09-28",38350,40900,73500
"2017-09-29",39000,41450,73600
"2017-10-10",38100,41600,73500
"2017-10-11",37350,42750,74000
"2017-10-12",37800,42750,73600
"2017-10-13",39100,43900,72900
"2017-10-16",39700,44200,72900
"2017-10-17",39800,43600,71800
"2017-10-18",39600,44000,72200
"2017-10-19",40850,44900,72100
"2017-10-20",41100,45650,72800
"2017-10-23",40400,42700,72000
"2017-10-24",40250,42750,72300
"2017-10-25",40000,42000,73100
"2017-10-26",39150,41750,72500
"2017-10-27",38850,41900,72200
"2017-10-30",38900,41700,72500
"2017-10-31",39200,41300,71800
"2017-11-01",38550,41200,72000
"2017-11-02",38350,40800,72000
"2017-11-03",39150,42000,74200
"2017-11-06",38700,42350,73600
"2017-11-07",38250,41550,74100
"2017-11-08",38500,41800,75500
"2017-11-09",38250,39950,76900
"2017-11-10",38600,39550,77500
"2017-11-13",38250,39300,78000
"2017-11-14",37950,38850,76800
"2017-11-15",37900,38300,75600
"2017-11-16",37800,38750,76500
"2017-11-17",37850,38600,75000
"2017-11-20",37450,38250,74800
"2017-11-21",37550,37750,74800
"2017-11-22",37500,37500,74400
"2017-11-23",37500,37500,75500
"2017-11-24",38050,39200,75000
"2017-11-27",38250,38300,74300
"2017-11-28",38300,38650,74500
"2017-11-29",37900,38300,74700
"2017-11-30",37500,37700,73800
"2017-12-01",37950,37500,73700
"2017-12-04",37850,38900,74200
"2017-12-05",38800,40150,74100
"2017-12-06",38450,39700,74300
"2017-12-07",38850,39650,74200
"2017-12-08",38000,39650,74200
"2017-12-11",37900,39200,74100
"2017-12-12",38100,40500,73600
"2017-12-13",38450,40900,73800
"2017-12-14",38700,40400,74000
"2017-12-15",39000,42000,74600
"2017-12-18",39200,41300,74800
"2017-12-19",38950,41650,74200
"2017-12-20",39250,41800,74500
"2017-12-21",38700,40100,74600
"2017-12-22",38750,40000,74400
"2017-12-26",39100,40650,74700
"2017-12-27",38400,39600,73300
"2017-12-28",38150,40600,73000
"2018-01-02",37750,40950,72500
"2018-01-03",37550,39650,72200
"2018-01-04",37200,39200,71400
"2018-01-05",37200,38600,72000
"2018-01-08",37300,38850,72600
"2018-01-09",37300,38450,73300
"2018-01-10",37400,40200,73800
"2018-01-11",36700,40750,73900
"2018-01-12",36450,40950,73900
"2018-01-15",36200,41000,73700
"2018-01-16",36300,40700,74800
"2018-01-17",36300,40600,75600
"2018-01-18",35650,41100,75800
"2018-01-19",35250,40250,76800
"2018-01-22",34650,40800,76900
"2018-01-23",35050,41550,76100
"2018-01-24",35400,41300,76300
"2018-01-25",35550,40950,77100
"2018-01-26",36050,40650,76100
"2018-01-29",36200,41500,76900
"2018-01-30",35900,42250,77900
"2018-01-31",35750,41900,77200
"2018-02-01",36000,42250,76600
"2018-02-02",35650,41050,80900
"2018-02-05",36100,39300,86100
"2018-02-06",35550,39750,83100
"2018-02-07",35550,39550,80400
"2018-02-08",34800,39000,82400
"2018-02-09",34400,39550,81500
"2018-02-12",34050,38850,81000
"2018-02-13",33500,38450,80300
"2018-02-14",33100,38050,81200
"2018-02-19",33100,38950,81000
"2018-02-20",33800,40050,80900
"2018-02-21",33750,40300,81300
"2018-02-22",33250,41000,82000
"2018-02-23",33700,41750,82700
"2018-02-26",33800,41500,84500
"2018-02-27",33350,40650,85200
"2018-02-28",33100,40350,83000
"2018-03-02",32900,39750,87400
"2018-03-05",32500,40000,84500
"2018-03-06",31950,40500,85200
"2018-03-07",31650,40800,82600
"2018-03-08",31650,41650,84300
"2018-03-09",32500,43100,84600
"2018-03-12",33100,43050,87200
"2018-03-13",32850,43200,83300
"2018-03-14",32700,42500,83200
"2018-03-15",32350,44300,82500
"2018-03-16",32050,44350,83300
"2018-03-19",31800,46300,83000
"2018-03-20",31650,45550,82600
"2018-03-21",31650,45550,82500
"2018-03-22",32000,45000,82500
"2018-03-23",31350,44050,81200
"2018-03-26",30850,44800,82600
"2018-03-27",31150,46400,82900
"2018-03-28",31800,44400,83000
"2018-03-29",32900,45400,83100
"2018-03-30",32850,45500,84200
"2018-04-02",33250,44600,82800
"2018-04-03",34950,46200,81100
"2018-04-04",34850,43750,77900
"2018-04-05",34500,44750,79000
"2018-04-06",34050,44350,80300
"2018-04-09",34500,44700,78000
"2018-04-10",34700,46100,79300
"2018-04-11",34450,44700,78900
"2018-04-12",34200,44550,79900
"2018-04-13",34500,45000,78300
"2018-04-16",33750,46350,79400
"2018-04-17",34550,46050,79600
"2018-04-18",34700,45500,78400
"2018-04-19",34700,48450,77300
"2018-04-20",35800,49750,78000
"2018-04-23",36700,51200,79800
"2018-04-24",36950,49500,80200
"2018-04-25",36250,48750,80900
"2018-04-26",35450,49050,79600
"2018-04-27",36450,49750,80200
"2018-04-30",37450,50700,80500
"2018-05-02",37750,51000,78300
"2018-05-03",37400,43050,78800
"2018-05-04",37350,42000,78600
"2018-05-08",36750,41250,78300
"2018-05-09",35700,40300,77500
"2018-05-10",35900,41350,70300
"2018-05-11",35750,42950,70000
"2018-05-14",37300,44000,68500
"2018-05-15",36950,44900,68200
"2018-05-16",36300,43200,67300
"2018-05-17",36250,44450,67600
"2018-05-18",36200,43350,68200
"2018-05-21",35700,42700,67400
"2018-05-23",36000,42250,67200
"2018-05-24",35100,42400,68500
"2018-05-25",34200,41250,68900
"2018-05-28",35000,43050,69000
"2018-05-29",34450,41000,68300
"2018-05-30",33750,41200,68800
"2018-05-31",33150,40450,67800
"2018-06-01",32900,41000,67500
"2018-06-04",32900,40850,67500
"2018-06-05",32900,40600,67000
"2018-06-07",33950,40200,67300
"2018-06-08",34050,40050,67600
"2018-06-11",35100,40200,68300
"2018-06-12",35050,40000,68700
"2018-06-14",34550,38750,68200
"2018-06-15",35000,39150,67100
"2018-06-18",34750,36450,67000
"2018-06-19",33500,35000,67000
"2018-06-20",33150,35250,67100
"2018-06-21",32900,34950,66700
"2018-06-22",34900,35500,66400
"2018-06-25",34600,37050,65700
"2018-06-26",34500,37200,65100
"2018-06-27",33050,36100,65300
"2018-06-28",32200,36100,65500
"2018-06-29",32000,35650,66600
"2018-07-02",32450,33100,65500
"2018-07-03",31700,33200,64900
"2018-07-04",32100,33300,63900
"2018-07-05",31650,32700,62400
"2018-07-06",31500,34150,62900
"2018-07-09",31100,33400,64000
"2018-07-10",31000,33900,64000
"2018-07-11",31000,32800,65700
"2018-07-12",31500,33000,67600
"2018-07-13",31200,33450,67000
"2018-07-16",31200,33600,67000
"2018-07-17",31800,33150,67200
"2018-07-18",31150,33050,67100
"2018-07-19",30850,33300,65700
"2018-07-20",31150,33300,65500
"2018-07-23",32250,34200,65000
"2018-07-24",33150,34800,64700
"2018-07-25",33100,34300,65300
"2018-07-26",32900,34000,65500
"2018-07-27",32500,33600,65600
"2018-07-30",32900,34750,66100
"2018-07-31",33300,34450,65300
"2018-08-01",32350,33150,65400
"2018-08-02",31800,33000,65000
"2018-08-03",31850,33450,65300
"2018-08-06",31050,34400,65300
"2018-08-07",30450,34750,65300
"2018-08-08",30350,35450,65000
"2018-08-09",31200,35500,64800
"2018-08-10",31550,36050,64800
"2018-08-13",31150,36000,65900
"2018-08-14",30350,37000,65500
"2018-08-16",30750,36400,65000
"2018-08-17",30650,36450,65200
"2018-08-20",31250,36650,64900
"2018-08-21",30750,36450,64500
"2018-08-22",30750,36550,65000
"2018-08-23",30600,36250,64700
"2018-08-24",30750,36850,64200
"2018-08-27",30750,35700,64400
"2018-08-28",30900,36650,64300
"2018-08-29",30800,36700,64400
"2018-08-30",30550,36000,64600
"2018-08-31",30500,36400,65000
"2018-09-03",30300,36450,65400
"2018-09-04",29950,36200,65200
"2018-09-05",30050,35800,65300
"2018-09-06",30200,35750,64800
"2018-09-07",30250,36300,64800
"2018-09-10",30250,36500,65000
"2018-09-11",30350,36000,65000
"2018-09-12",30300,36350,64800
"2018-09-13",29950,36300,65000
"2018-09-14",29900,36100,64900
"2018-09-17",29800,36000,64200
"2018-09-18",29500,34300,64000
"2018-09-19",28950,33400,62900
"2018-09-20",28700,33550,62200
"2018-09-21",28750,33750,62500
"2018-09-27",28950,33900,63200
"2018-09-28",29350,34000,64100
"2018-10-01",29350,33700,64000
"2018-10-02",28550,33650,63600
"2018-10-04",27450,32550,63900
"2018-10-05",27150,31800,63600
"2018-10-08",26350,31600,62500
"2018-10-10",25300,31050,61100
"2018-10-11",23850,30200,59900
"2018-10-12",24750,29500,62500
"2018-10-15",25050,29900,63500
"2018-10-16",24950,29650,61800
"2018-10-17",25500,30100,61700
"2018-10-18",26150,30000,60300
"2018-10-19",26900,29700,59600
"2018-10-22",27550,28950,60100
"2018-10-23",26300,28100,60200
"2018-10-24",27400,28350,60300
"2018-10-25",28050,28250,59900
"2018-10-26",27300,27350,61400
"2018-10-29",27100,26500,60000
"2018-10-30",26250,27050,59000
"2018-10-31",27100,27500,56900
"2018-11-01",26900,27000,56100
"2018-11-02",26600,28100,57500
"2018-11-05",27100,27550,56600
"2018-11-06",26750,27150,56900
"2018-11-07",27200,28050,56900
"2018-11-08",27450,28550,58900
"2018-11-09",28150,28500,59500
"2018-11-12",27550,27750,59800
"2018-11-13",27350,27700,59300
"2018-11-14",28600,26650,59000
"2018-11-15",27850,28000,57600
"2018-11-16",27950,28950,58500
"2018-11-19",27350,29250,59600
"2018-11-20",27950,29700,59000
"2018-11-21",28200,29850,58600
"2018-11-22",28200,29500,58200
"2018-11-23",27600,29400,57700
"2018-11-26",29300,30700,58500
"2018-11-27",29850,31050,58200
"2018-11-28",30800,31100,59400
"2018-11-29",30400,31150,59200
"2018-11-30",29700,30850,60000
"2018-12-03",29750,31050,60100
"2018-12-04",30600,31100,61100
"2018-12-05",30700,31650,60500
"2018-12-06",30750,31450,58400
"2018-12-07",31250,31800,58300
"2018-12-10",32100,32650,57600
"2018-12-11",32600,32550,57700
"2018-12-12",32000,32900,57600
"2018-12-13",32100,33550,58400
"2018-12-14",32600,33950,56800
"2018-12-17",32950,33300,58500
"2018-12-18",33300,35450,59500
"2018-12-19",34150,35550,58100
"2018-12-20",34350,34950,57300
"2018-12-21",33450,34100,57500
"2018-12-24",33100,34550,57800
"2018-12-26",32750,33950,57500
"2018-12-27",32500,33100,57500
"2018-12-28",33100,33200,57000
"2019-01-02",34050,32400,56000
"2019-01-03",34800,31750,55900
"2019-01-04",34300,33500,55000
"2019-01-07",34100,34150,55600
"2019-01-08",35450,33200,55400
"2019-01-09",33550,32050,55700
"2019-01-10",34450,32000,55300
"2019-01-11",34700,32550,55400
"2019-01-14",34700,34050,55200
"2019-01-15",34800,34250,56100
"2019-01-16",34400,33050,56800
"2019-01-17",34500,32700,57100
"2019-01-18",33850,31800,57400
"2019-01-21",32550,31250,56900
"2019-01-22",32650,31600,55900
"2019-01-23",32850,31750,55800
"2019-01-24",32800,32850,56500
"2019-01-25",33050,32900,57100
"2019-01-28",32800,32650,57000
"2019-01-29",32950,31750,56600
"2019-01-30",33200,33800,56300
"2019-01-31",34500,33950,57600
"2019-02-01",33900,33250,57500
"2019-02-07",33500,33400,57400
"2019-02-08",33650,33550,57600
"2019-02-11",34350,33800,57400
"2019-02-12",34050,33600,57100
"2019-02-13",34000,33400,57200
"2019-02-14",33800,33800,57500
"2019-02-15",33500,33550,57500
"2019-02-18",33050,35650,58300
"2019-02-19",33000,36050,59400
"2019-02-20",33400,36300,60200
"2019-02-21",33300,36200,59700
"2019-02-22",34350,37350,58500
"2019-02-25",34000,36850,59800
"2019-02-26",34800,36050,59900
"2019-02-27",34950,36650,59600
"2019-02-28",34850,36200,59700
"2019-03-04",35800,37200,59100
"2019-03-05",35650,38250,59000
"2019-03-06",35250,37100,59800
"2019-03-07",34650,36400,60300
"2019-03-08",34650,35850,60500
"2019-03-11",35000,35850,62700
"2019-03-12",35500,35600,62700
"2019-03-13",35100,35350,63300
"2019-03-14",35450,35250,64200
"2019-03-15",35400,36200,63100
"2019-03-18",34450,35450,62300
"2019-03-19",33450,35350,60800
"2019-03-20",32400,35700,60400
"2019-03-21",31900,34600,61700
"2019-03-22",31950,34700,62000
"2019-03-25",31650,34200,59600
"2019-03-26",31550,34300,59800
"2019-03-27",31350,34800,62300
"2019-03-28",30650,34850,62500
"2019-03-29",29900,34800,61000
"2019-04-01",30350,34950,61000
"2019-04-02",30250,35700,59900
"2019-04-03",30300,35700,59000
"2019-04-04",30150,35450,58600
"2019-04-05",29200,35300,57200
"2019-04-08",29400,36350,57700
"2019-04-09",28750,35650,57700
"2019-04-10",29650,35650,58200
"2019-04-11",29200,35150,58600
"2019-04-12",29100,35800,58200
"2019-04-15",29150,34800,57100
"2019-04-16",29300,35000,57300
"2019-04-17",28900,34900,57200
"2019-04-18",28850,35250,56800
"2019-04-19",28850,34900,56400
"2019-04-22",28900,35400,57500
"2019-04-23",28700,35450,58400
"2019-04-24",28150,35150,58300
"2019-04-25",27850,35250,57600
"2019-04-26",27900,35300,57900
"2019-04-29",28700,37400,57900
"2019-04-30",28300,36650,57500
"2019-05-02",28050,36350,57600
"2019-05-03",27800,36200,56800
"2019-05-07",27950,35200,56600
"2019-05-08",27750,35400,57500
"2019-05-09",27050,34700,56900
"2019-05-10",27300,35200,56900
"2019-05-13",27150,34550,54700
"2019-05-14",26850,34050,53700
"2019-05-15",26300,31700,55300
"2019-05-16",25750,31800,54500
"2019-05-17",25450,32300,53700
"2019-05-20",25400,31000,53100
"2019-05-21",25050,30200,52300
"2019-05-22",25100,30400,52200
"2019-05-23",25200,30450,52600
"2019-05-24",25500,30800,53100
"2019-05-27",25000,30350,52600
"2019-05-28",25100,31250,52300
"2019-05-29",24700,31000,51700
"2019-05-30",24950,31150,51500
"2019-05-31",26000,31550,51800
"2019-06-03",26650,31200,52900
"2019-06-04",26000,32000,53900
