"",".","X2020.03","X2020.06","X2020.09"
"126",-52,-6,-6,-6
"127",-2,-3,9,9
"128",0,-113,-253,-284
"129",NA,4,4,3
"130",-23,52,45,15
"131",-48,-2,-141,-32
"132",NA,NA,NA,NA
"133",56,25,176,24
"134",4,2,3,1
"135",0,NA,NA,NA
"136",NA,NA,NA,NA
"137",7,5,5,7
"138",1,3,3,3
"139",NA,NA,NA,NA
"140",NA,NA,NA,NA
"141",NA,NA,NA,NA
"142",NA,NA,NA,NA
"143",NA,NA,NA,NA
"144",NA,NA,NA,NA
"145",NA,NA,NA,NA
"146",NA,NA,NA,NA
"147",NA,NA,NA,NA
"148",NA,0,0,0
"149",NA,NA,NA,NA
"150",NA,NA,NA,NA
"151",5,2,17,2
"152",NA,NA,NA,NA
"153",NA,NA,NA,NA
"154",NA,NA,NA,NA
"155",NA,NA,NA,NA
"156",NA,NA,NA,NA
"157",NA,NA,NA,NA
"158",NA,NA,NA,NA
"159",NA,NA,NA,NA
"160",NA,NA,NA,NA
"161",NA,NA,NA,NA
"162",NA,NA,NA,NA
"163",4,2,-1,1
"164",-24,38,27,26
"165",17,-2,80,3
"166",-40,40,-53,23
"167",NA,NA,NA,NA
"168",NA,NA,NA,NA
"169",-19,59,45,16
"170",-3,-6,0,-1
"171",1,1,1,0
"172",-2,-6,0,-1
"173",NA,NA,NA,NA
"174",NA,NA,NA,NA
"175",NA,NA,NA,NA
"176",-2,-1,-1,0
"177",NA,NA,NA,NA
"178",33,-42,-129,-74
"179",102,6,100,28
"180",86,4,36,NA
"181",NA,NA,NA,NA
"182",NA,NA,NA,NA
"183",NA,NA,NA,NA
"184",0,0,1,1
"185",NA,NA,NA,NA
"186",3,2,64,21
"187",NA,NA,NA,NA
"188",NA,0,-1,0
"189",NA,NA,NA,NA
"190",NA,NA,NA,NA
"191",NA,NA,NA,NA
"192",12,NA,NA,6
"193",69,49,229,102
"194",27,10,66,1
"195",NA,NA,NA,NA
"196",NA,NA,NA,NA
"197",NA,NA,NA,NA
"198",0,26,-78,8
"199",8,14,227,21
"200",NA,-10,0,NA
"201",23,8,7,72
"202",11,0,1,0
"203",NA,NA,NA,NA
"204",NA,NA,NA,NA
"205",NA,0,6,NA
"206",NA,NA,NA,NA
"207",15,6,193,-41
"208",84,36,196,NA
"209",NA,NA,200,NA
"210",84,36,-29,NA
"211",NA,NA,NA,NA
"212",NA,NA,NA,NA
"213",NA,NA,NA,NA
"214",NA,NA,NA,NA
"215",NA,NA,25,NA
"216",NA,NA,NA,NA
"217",NA,NA,NA,NA
"218",NA,NA,NA,NA
"219",NA,NA,NA,NA
"220",69,30,2,41
"221",NA,NA,NA,NA
"222",44,26,-1,34
"223",NA,NA,NA,NA
"224",20,2,2,4
"225",NA,2,2,3
"226",NA,NA,NA,NA
"227",NA,NA,NA,NA
"228",4,NA,NA,NA
"229",NA,NA,NA,NA
"230",0,NA,NA,NA
"231",NA,NA,NA,NA
"232",NA,NA,NA,NA
"233",NA,NA,NA,NA
"234",0,0,0,0
"235",26,16,110,-100
"236",10,83,99,209
"237",36,99,209,108
