"","115160","064240","078890","028080","297570","134580"
"2017-03-24",11900,10900,11408,6380,NA,3800
"2017-03-27",11700,10100,11214,6440,NA,3705
"2017-03-28",11900,10300,11456,6460,NA,3680
"2017-03-29",11800,9990,11552,6440,NA,3620
"2017-03-30",11850,9860,11504,6690,NA,3500
"2017-03-31",11900,9920,11600,6560,NA,3520
"2017-04-03",11850,9970,11696,6630,NA,3400
"2017-04-04",11750,10000,11696,6460,NA,3185
"2017-04-05",11850,10450,11744,6500,NA,3300
"2017-04-06",11800,10050,12226,6470,NA,3440
"2017-04-07",11800,10700,12514,6480,NA,3475
"2017-04-10",11750,10350,12081,6660,NA,3355
"2017-04-11",11650,10700,12177,6450,NA,3445
"2017-04-12",11600,10650,11888,6400,NA,3425
"2017-04-13",11600,10500,11937,6380,NA,3420
"2017-04-14",11600,10050,11504,6340,NA,3395
"2017-04-17",11600,10200,11744,6330,NA,3445
"2017-04-18",11550,10300,11937,6290,NA,3440
"2017-04-19",11800,10150,11937,6290,NA,3370
"2017-04-20",11850,10050,11552,6220,NA,3550
"2017-04-21",11800,9890,11312,6240,NA,3560
"2017-04-24",11850,9290,11504,6180,NA,3475
"2017-04-25",11900,9540,11744,6220,NA,3460
"2017-04-26",11900,9280,11744,6260,NA,3475
"2017-04-27",12000,9030,11696,6310,NA,3375
"2017-04-28",11900,9050,11360,6290,NA,3380
"2017-05-02",11800,9120,11214,6210,NA,3330
"2017-05-04",11800,9310,11408,6220,NA,3390
"2017-05-08",11800,9620,11504,6220,NA,3375
"2017-05-10",11700,9540,11214,6210,NA,3370
"2017-05-11",11700,9550,11022,6200,NA,3360
"2017-05-12",11650,10200,11022,6190,NA,3365
"2017-05-15",11650,10700,10878,6160,NA,3545
"2017-05-16",11450,11100,10685,6110,NA,3590
"2017-05-17",11400,10650,10974,6080,NA,3675
"2017-05-18",11400,11050,11022,6040,NA,3690
"2017-05-19",11250,10700,11166,6020,NA,3485
"2017-05-22",11100,10600,10974,6030,NA,3510
"2017-05-23",11250,10200,10830,6050,NA,3460
"2017-05-24",11450,10250,11118,6030,NA,3410
"2017-05-25",11250,10150,11070,6010,NA,3350
"2017-05-26",11250,10200,11214,6090,NA,3405
"2017-05-29",11350,10100,11456,6060,NA,3550
"2017-05-30",11300,9810,11648,6040,NA,3790
"2017-05-31",11400,9780,11792,6040,NA,3870
"2017-06-01",11700,9400,11552,6130,NA,3870
"2017-06-02",11800,9360,11504,6160,NA,3690
"2017-06-05",11800,10050,11360,6170,NA,3690
"2017-06-07",11750,9960,11262,6160,NA,3690
"2017-06-08",11850,10300,11408,6130,NA,3585
"2017-06-09",12000,10250,11166,6140,NA,3450
"2017-06-12",11850,9980,11070,6070,NA,3390
"2017-06-13",11900,9770,11118,6100,NA,3450
"2017-06-14",12000,9650,11118,6140,NA,3465
"2017-06-15",11950,9920,11070,6110,NA,3460
"2017-06-16",11600,9850,11360,6100,NA,3510
"2017-06-19",11750,9980,11166,6100,NA,3630
"2017-06-20",11700,10100,11070,6060,NA,3665
"2017-06-21",11700,9890,11070,6040,NA,3555
"2017-06-22",11500,9600,11552,6000,NA,3475
"2017-06-23",11650,9580,11552,5970,NA,3695
"2017-06-26",11600,9440,11552,5910,NA,3745
"2017-06-27",11550,9320,11360,5900,NA,3785
"2017-06-28",11350,9320,10926,5830,NA,3665
"2017-06-29",11550,9310,11022,5830,NA,3690
"2017-06-30",11600,9270,11022,5850,NA,3710
"2017-07-03",11550,8980,11022,5830,NA,3690
"2017-07-04",11550,8990,11214,5860,NA,3700
"2017-07-05",11500,9320,11118,5840,NA,4810
"2017-07-06",11550,9290,11070,5850,NA,4750
"2017-07-07",11350,9330,11214,5840,NA,4745
"2017-07-10",11350,9000,11214,5790,NA,4340
"2017-07-11",11200,8820,11408,5780,NA,4420
"2017-07-12",11300,8850,11552,5680,NA,4795
"2017-07-13",11300,8840,11792,5640,NA,5090
"2017-07-14",11250,9050,11888,5630,NA,4900
"2017-07-17",11300,8960,11888,5650,NA,5060
"2017-07-18",11300,9180,11888,5660,NA,5320
"2017-07-19",11200,9330,11696,5680,NA,5000
"2017-07-20",11200,9260,11696,5710,NA,4855
"2017-07-21",11250,9500,12033,5700,NA,4700
"2017-07-24",11250,9430,12129,5710,NA,4670
"2017-07-25",11100,9410,12033,5710,NA,4790
"2017-07-26",11200,9020,12033,5670,NA,4590
"2017-07-27",11200,9010,12033,5680,NA,4550
"2017-07-28",11050,9130,11456,5700,NA,4685
"2017-07-31",10800,9030,11408,5660,NA,4650
"2017-08-01",10850,9190,11456,5650,NA,4680
"2017-08-02",11050,9200,11504,5610,NA,4880
"2017-08-03",11000,8990,11408,5610,NA,4745
"2017-08-04",10850,8910,11070,5600,NA,4480
"2017-08-07",11000,8970,11022,5610,NA,4340
"2017-08-08",10900,9800,11022,5600,NA,4360
"2017-08-09",10800,9100,11022,5600,NA,4230
"2017-08-10",10700,9020,10974,5570,NA,4130
"2017-08-11",11000,8670,10782,5550,NA,4000
"2017-08-14",10800,7420,10734,5560,NA,3980
"2017-08-16",10950,8000,11166,5490,NA,3980
"2017-08-17",11200,8300,11022,5510,NA,4010
"2017-08-18",11200,8330,11070,5510,NA,4015
"2017-08-21",11050,8220,10830,5500,NA,4000
"2017-08-22",10850,8230,10878,5490,NA,4010
"2017-08-23",10850,8030,10926,5530,NA,3975
"2017-08-24",10550,8080,10830,5270,NA,3865
"2017-08-25",10700,8000,10974,5250,NA,3850
"2017-08-28",10600,10400,11022,5100,NA,4020
"2017-08-29",10500,11100,10974,5110,NA,3905
"2017-08-30",10500,10550,11070,5110,NA,3925
"2017-08-31",10550,11150,10878,5100,NA,3975
"2017-09-01",10500,10800,10782,5100,NA,4085
"2017-09-04",10400,10150,10541,5030,NA,3975
"2017-09-05",10350,9760,10397,4945,NA,3980
"2017-09-06",10300,9900,10782,4980,NA,3900
"2017-09-07",10250,9590,10926,5030,NA,3915
"2017-09-08",9990,9660,10974,5030,NA,3950
"2017-09-11",9960,10100,10926,5040,NA,3895
"2017-09-12",10000,9900,11022,5040,NA,3790
"2017-09-13",9960,9650,10830,4955,NA,3700
"2017-09-14",9840,9660,10637,5000,NA,3700
"2017-09-15",9970,9330,10589,4995,NA,3640
"2017-09-18",9930,9260,10637,4930,NA,3625
"2017-09-19",9880,10250,10734,4840,NA,3630
"2017-09-20",9780,10100,10445,4840,NA,3465
"2017-09-21",9730,9620,10300,4730,NA,3440
"2017-09-22",9690,9900,9771,4705,NA,3365
"2017-09-25",9460,10050,9617,4545,NA,3370
"2017-09-26",9200,9980,9433,4545,NA,3290
"2017-09-27",9310,10650,9867,4540,NA,3455
"2017-09-28",9250,10450,10108,4520,NA,3455
"2017-09-29",9290,10250,10156,4615,NA,3530
"2017-10-10",9370,11150,9867,4600,NA,3415
"2017-10-11",9650,11450,9627,4660,NA,3495
"2017-10-12",9440,11550,9617,4720,NA,3470
"2017-10-13",9450,14200,9347,4720,NA,3475
"2017-10-16",9520,14550,9155,4675,NA,3400
"2017-10-17",9500,13950,9125,4720,NA,3430
"2017-10-18",9380,14400,9125,4660,NA,3370
"2017-10-19",9450,12900,9174,4645,NA,3550
"2017-10-20",9490,12800,9193,4655,NA,3520
"2017-10-23",9470,12850,9213,4615,NA,3490
"2017-10-24",9460,13400,9213,4640,NA,3455
"2017-10-25",9340,12600,9117,4695,NA,3455
"2017-10-26",9290,12450,9125,4670,NA,3455
"2017-10-27",9260,12450,9117,4685,NA,3430
"2017-10-30",9360,13250,9117,4730,NA,3485
"2017-10-31",9420,13500,9309,4700,NA,3445
"2017-11-01",9380,13650,9299,4695,NA,3440
"2017-11-02",9410,13150,9309,4650,NA,3370
"2017-11-03",9180,13250,9482,4675,NA,3375
"2017-11-06",9130,14850,9261,4620,NA,3355
"2017-11-07",9190,14300,9771,4690,NA,3350
"2017-11-08",9250,14800,9675,4635,NA,3395
"2017-11-09",9200,16500,9915,4615,NA,3450
"2017-11-10",9260,15900,9963,4605,NA,3395
"2017-11-13",9440,16200,10011,4650,NA,3415
"2017-11-14",9290,16800,9771,4700,NA,3460
"2017-11-15",9310,16250,9531,4715,NA,4495
"2017-11-16",9230,16650,9867,4705,NA,4360
"2017-11-17",9190,16600,10059,4655,NA,4275
"2017-11-20",9210,16350,10204,4690,NA,4210
"2017-11-21",9160,19000,10589,4760,NA,4125
"2017-11-22",9010,17350,10974,4735,NA,3935
"2017-11-23",9030,17600,11022,4930,NA,3890
"2017-11-24",9020,17600,10782,4905,NA,3995
"2017-11-27",9100,17000,10830,4900,NA,3995
"2017-11-28",9080,16950,10734,4860,NA,3895
"2017-11-29",9020,17150,11360,4875,NA,3890
"2017-11-30",9160,17400,11262,4860,NA,3885
"2017-12-01",9590,18600,11792,4900,NA,3875
"2017-12-04",9850,18050,12033,4930,NA,4060
"2017-12-05",9700,18350,11937,5010,NA,4080
"2017-12-06",9920,18100,12033,4980,NA,3960
"2017-12-07",10150,16500,11840,4970,NA,3890
"2017-12-08",9970,14900,11504,4925,NA,3820
"2017-12-11",10050,15250,11937,4920,NA,4240
"2017-12-12",9720,15350,11792,4960,NA,4275
"2017-12-13",9660,15850,11648,4850,NA,4345
"2017-12-14",9810,15700,11600,4850,NA,3910
"2017-12-15",9620,15750,11600,4910,NA,3820
"2017-12-18",9530,15800,11408,4860,NA,3725
"2017-12-19",9050,14950,11214,4755,NA,3555
"2017-12-20",8860,14150,11360,4605,NA,3550
"2017-12-21",8460,13500,10974,4630,NA,3530
"2017-12-22",8410,14150,11648,4580,NA,3560
"2017-12-26",8620,14000,11792,4575,NA,3480
"2017-12-27",8820,14900,12177,4640,NA,3545
"2017-12-28",8920,14550,11696,4640,NA,3785
"2018-01-02",9170,15700,13189,4640,NA,3865
"2018-01-03",9140,15500,13525,4660,NA,3805
"2018-01-04",9130,14350,12899,4620,NA,3770
"2018-01-05",9040,14800,12995,4640,NA,3720
"2018-01-08",8790,14250,12322,4615,NA,4075
"2018-01-09",8800,13850,12274,4615,NA,4140
"2018-01-10",8770,13700,12611,4615,NA,4000
"2018-01-11",8610,14100,12177,4550,NA,4000
"2018-01-12",8580,13900,11696,4555,NA,3820
"2018-01-15",8620,14100,11937,4555,NA,3945
"2018-01-16",8760,14700,12177,4550,NA,4095
"2018-01-17",8700,14400,11696,4590,NA,4050
"2018-01-18",8720,14900,11456,4560,NA,4090
"2018-01-19",8730,14650,11792,4530,NA,4115
"2018-01-22",8640,15150,12129,4595,NA,4010
"2018-01-23",8730,15250,11937,4595,NA,4070
"2018-01-24",8680,15200,11985,4565,NA,4090
"2018-01-25",8750,15300,12514,4630,NA,4100
"2018-01-26",8850,15050,12611,4710,NA,4055
"2018-01-29",8970,14300,12466,4725,NA,4190
"2018-01-30",8790,13850,12322,4715,NA,4165
"2018-01-31",8770,14050,12755,4705,NA,4140
"2018-02-01",8880,14700,12803,4730,NA,4090
"2018-02-02",8900,14150,12129,4700,NA,3950
"2018-02-05",8660,12750,11600,4620,NA,3720
"2018-02-06",8400,12350,11312,4500,NA,3630
"2018-02-07",8310,11300,11022,4475,NA,3580
"2018-02-08",8320,12550,11118,4520,NA,3730
"2018-02-09",8220,12000,10782,4405,NA,3540
"2018-02-12",8110,12150,10926,4395,NA,3505
"2018-02-13",7940,11700,10589,4400,NA,3455
"2018-02-14",7960,12400,10685,4365,NA,3500
"2018-02-19",8350,12900,10782,4480,NA,3440
"2018-02-20",8310,12650,10878,4455,NA,3515
"2018-02-21",8280,12750,10974,4475,NA,3515
"2018-02-22",8260,13050,10926,4645,NA,3510
"2018-02-23",8750,12650,10685,5180,NA,3490
"2018-02-26",8610,12600,10685,5380,NA,3465
"2018-02-27",8910,12600,10637,5270,NA,3400
"2018-02-28",8820,11950,10397,5290,NA,3420
"2018-03-02",8580,12100,10204,5160,NA,3390
"2018-03-05",8350,11650,10011,4930,NA,3445
"2018-03-06",8510,12100,10397,4970,NA,3490
"2018-03-07",8630,11500,10397,4990,NA,3460
"2018-03-08",8640,11750,10589,4980,NA,3480
"2018-03-09",8940,12250,10782,4990,NA,3525
"2018-03-12",9080,12750,10830,4980,NA,3535
"2018-03-13",9040,12900,10589,4900,NA,3655
"2018-03-14",9100,12650,10493,4840,NA,3715
"2018-03-15",9080,12400,10589,4835,NA,3760
"2018-03-16",9040,13050,10589,4710,NA,3730
"2018-03-19",9020,12300,10541,4630,NA,3555
"2018-03-20",8900,12400,10252,4635,NA,3390
"2018-03-21",8850,12100,10300,4600,NA,3265
"2018-03-22",8670,13250,10300,4585,NA,3305
"2018-03-23",8450,11950,9819,4485,NA,3285
"2018-03-26",8410,12150,9819,4540,NA,2975
"2018-03-27",8420,12550,9627,4550,NA,3060
"2018-03-28",8570,12300,9395,4720,NA,3040
"2018-03-29",8430,12500,9607,4660,NA,3085
"2018-03-30",9010,12550,9915,4755,NA,3165
"2018-04-02",8930,12250,10108,4715,NA,3120
