"","047050","001120","011760","001250","011810"
"2016-09-07",23450,35750,20650,2900,35870
"2016-09-08",24100,35450,20450,2850,34897
"2016-09-09",23650,35950,20350,2810,32952
"2016-09-12",22600,35250,19950,2685,30702
"2016-09-13",22300,35050,20000,2700,33134
"2016-09-19",22200,35650,20000,2720,32526
"2016-09-20",22500,36400,20000,2695,32040
"2016-09-21",21950,35500,20300,2715,32587
"2016-09-22",22750,35450,20550,2705,32526
"2016-09-23",22850,35500,20700,2715,32465
"2016-09-26",22850,35200,20750,2730,31857
"2016-09-27",23450,35500,20850,2655,31614
"2016-09-28",22600,35100,20900,2615,31249
"2016-09-29",25450,35900,22000,2645,31128
"2016-09-30",24500,34900,21800,2625,29790
"2016-10-04",25250,33700,21650,2540,31310
"2016-10-05",25050,33650,21600,3000,31797
"2016-10-06",25150,31800,21200,2885,32830
"2016-10-07",24950,32750,21150,2865,32891
"2016-10-10",25350,32300,21350,2925,33073
"2016-10-11",26600,32750,21600,3005,33742
"2016-10-12",26500,32700,21500,2935,42679
"2016-10-13",25650,32250,21250,2900,36721
"2016-10-14",25800,32200,21500,2890,33985
"2016-10-17",25550,32250,21300,2850,35688
"2016-10-18",25850,31550,21100,2940,38667
"2016-10-19",26300,32050,21350,2865,50218
"2016-10-20",27200,32400,22150,2880,45780
"2016-10-21",26750,32100,22450,2895,46084
"2016-10-24",27250,32100,21700,2970,42375
"2016-10-25",27250,32250,21650,2845,39822
"2016-10-26",26350,31450,21550,2735,39883
"2016-10-27",25250,29350,21550,2745,39700
"2016-10-28",25050,28550,21300,2770,40551
"2016-10-31",24950,27850,21000,2675,41099
"2016-11-01",23650,27750,20900,2675,43287
"2016-11-02",23450,27600,20400,2490,44625
"2016-11-03",23500,28050,20300,2500,43774
"2016-11-04",23550,27900,20300,2555,43895
"2016-11-07",24700,28150,20700,2590,42801
"2016-11-08",24850,28300,20650,2590,43530
"2016-11-09",23900,27000,19950,2425,40369
"2016-11-10",25100,30050,21500,2600,43105
"2016-11-11",25750,31000,21350,2625,48577
"2016-11-14",26000,31150,21200,2685,44260
"2016-11-15",25450,31200,21450,2625,44990
"2016-11-16",27150,32300,21450,2740,44442
"2016-11-17",26700,31800,21500,2760,42314
"2016-11-18",26800,31700,21450,2700,42558
"2016-11-21",26750,31300,21300,2645,40612
"2016-11-22",27150,31200,21200,2665,42862
"2016-11-23",26850,30950,21000,2580,41281
"2016-11-24",25750,30650,20500,2525,38910
"2016-11-25",25900,30700,20450,2555,38302
"2016-11-28",25650,30300,20100,2605,37937
"2016-11-29",25750,30300,20000,2625,37572
"2016-11-30",26650,30150,19900,2635,38363
"2016-12-01",26700,30850,20350,2670,38241
"2016-12-02",26200,30650,20000,2740,36721
"2016-12-05",26250,31100,19750,2755,33742
"2016-12-06",26650,32450,20000,2825,33803
"2016-12-07",26150,32200,20200,2815,32405
"2016-12-08",28000,33500,20800,2820,33013
"2016-12-09",27450,32350,20500,2795,32891
"2016-12-12",28800,32650,21000,2815,33803
"2016-12-13",27750,31600,20950,2890,33377
"2016-12-14",27550,31300,21050,2890,26568
"2016-12-15",28550,31700,21050,2925,25048
"2016-12-16",29050,31100,21150,2900,22981
"2016-12-19",28600,30500,21100,2930,23164
"2016-12-20",28450,30450,21300,2910,23164
"2016-12-21",28100,30550,21300,2900,23346
"2016-12-22",28200,30350,21150,2860,22860
"2016-12-23",28100,30050,21500,3035,22920
"2016-12-26",28400,29700,21700,2980,19516
"2016-12-27",28100,29750,21750,3115,20428
"2016-12-28",27600,29200,21750,3090,20732
"2016-12-29",27000,29250,21900,3095,20184
"2017-01-02",27450,29550,21750,3095,20549
"2017-01-03",27200,30000,21400,3085,20975
"2017-01-04",27400,30050,21600,3170,22677
"2017-01-05",27400,30350,21500,3270,22738
"2017-01-06",27850,30250,21950,3330,22799
"2017-01-09",27750,30700,21900,3285,24440
"2017-01-10",27250,30400,21550,3410,25839
"2017-01-11",28400,31500,21450,3500,33560
"2017-01-12",28400,31550,21650,3540,42314
"2017-01-13",28150,31900,21200,3555,39092
"2017-01-16",28000,32000,20700,3575,36660
"2017-01-17",28250,32650,20850,3600,32101
"2017-01-18",28350,32600,20950,3570,33256
"2017-01-19",27000,32200,21350,3460,32465
"2017-01-20",27000,32350,21250,3705,30824
"2017-01-23",27400,32700,21450,3615,28574
"2017-01-24",27500,32250,21050,3490,29122
"2017-01-25",27000,32650,21300,3315,29973
"2017-01-26",26750,31800,21650,3390,30338
"2017-01-31",25450,32300,21800,3475,30702
"2017-02-01",26400,32350,21800,3430,39883
"2017-02-02",26300,32350,21600,3195,35140
"2017-02-03",25600,33700,21750,3190,35870
"2017-02-06",25300,34250,21250,3230,37572
"2017-02-07",24950,34650,20850,3215,35627
"2017-02-08",24700,34800,21050,3285,34654
"2017-02-09",25650,34200,20950,3305,32648
"2017-02-10",25900,34900,20700,3285,31553
"2017-02-13",26550,35100,20850,3280,33925
"2017-02-14",26650,35050,20750,3460,30702
"2017-02-15",26300,34500,21050,3420,29122
"2017-02-16",26300,34550,21000,3405,29000
"2017-02-17",25800,34100,21100,3330,29000
"2017-02-20",25300,33200,21200,3125,29000
"2017-02-21",25300,33300,21250,3150,29000
"2017-02-22",25150,32800,20950,3185,29000
"2017-02-23",25250,32600,20800,3105,29000
"2017-02-24",25300,32000,21000,3100,29000
"2017-02-27",24950,31950,20750,3035,29000
"2017-02-28",24550,32600,20900,3035,29000
"2017-03-02",24400,32100,21000,3105,29000
"2017-03-03",24050,32250,20800,3050,29000
"2017-03-06",24050,32100,20700,3010,29000
"2017-03-07",24850,32850,20950,3110,29000
"2017-03-08",24350,32150,20650,3085,29000
"2017-03-09",23650,31450,20450,3095,29000
"2017-03-10",23100,31100,20650,3135,29000
"2017-03-13",23300,30650,20550,3135,29000
"2017-03-14",23550,30500,20400,3115,29000
"2017-03-15",23450,30050,20100,3165,29000
"2017-03-16",24050,30550,20350,3170,29000
"2017-03-17",23600,30600,19900,3145,29000
"2017-03-20",23450,30000,20100,3070,29000
"2017-03-21",23150,29850,20450,3115,29000
"2017-03-22",22300,29500,20450,3095,29000
"2017-03-23",23150,30900,20800,3070,29000
"2017-03-24",22850,30300,20800,3090,29000
"2017-03-27",22400,30600,20500,3030,29000
"2017-03-28",23000,30650,20850,3050,29000
"2017-03-29",23000,31600,20900,3045,29000
"2017-03-30",22700,31700,20700,3000,29000
"2017-03-31",23850,32200,21500,3145,29000
"2017-04-03",23200,31350,21450,3125,29000
"2017-04-04",22850,31600,21450,3110,29000
"2017-04-05",23500,31650,21600,3075,29000
"2017-04-06",23050,31450,21300,3030,29000
"2017-04-07",24000,31100,21600,3045,29000
"2017-04-10",23300,30600,21500,2930,29000
"2017-04-11",23300,30750,21000,2930,29000
"2017-04-12",23750,31300,21100,2955,29000
"2017-04-13",23400,30900,20900,2970,29000
"2017-04-14",23250,30850,20900,2910,29000
"2017-04-17",23550,30850,20700,2920,29000
"2017-04-18",24200,30550,20900,2920,29000
"2017-04-19",24000,30650,20800,2980,29000
"2017-04-20",24150,30350,20700,2965,29000
"2017-04-21",24300,30300,20650,2970,29000
"2017-04-24",24000,30550,20700,2935,29000
"2017-04-25",23900,31400,21200,3105,29000
"2017-04-26",23950,31850,21200,3225,29000
"2017-04-27",24050,32200,21200,3220,29000
"2017-04-28",24000,32500,20900,3270,29000
"2017-05-02",24050,32750,21000,3220,29000
"2017-05-04",24150,33100,21200,3280,29000
"2017-05-08",23700,32300,20750,3250,29000
"2017-05-10",23550,32600,20750,3250,29000
"2017-05-11",23900,32900,20750,3235,29000
"2017-05-12",23600,32400,20650,3280,29000
"2017-05-15",23700,32250,20700,3335,29000
"2017-05-16",23600,32300,20750,3310,29000
"2017-05-17",23650,31250,20750,3230,29000
"2017-05-18",23250,30900,20450,3270,29000
"2017-05-19",23300,31350,20350,3270,29000
"2017-05-22",23400,31750,20500,3355,29000
"2017-05-23",23450,31750,20750,3360,29000
"2017-05-24",23200,32450,21050,3335,29000
"2017-05-25",25100,33150,21800,3465,29000
"2017-05-26",24000,33100,22200,3455,29000
"2017-05-29",24050,32600,21700,3445,29000
"2017-05-30",24300,32700,21800,3440,29000
"2017-05-31",24150,33700,21900,3470,29000
"2017-06-01",24100,33050,21400,3405,29000
"2017-06-02",24250,32750,21500,3410,29000
"2017-06-05",23650,32500,21600,3370,29000
"2017-06-07",23150,32700,21500,3325,29000
"2017-06-08",23650,32800,21450,3355,29000
"2017-06-09",23150,32450,21050,3320,29000
"2017-06-12",23400,32100,20850,3235,29000
"2017-06-13",23550,32650,20850,3320,29000
"2017-06-14",23450,32200,20800,3295,29000
"2017-06-15",22750,31150,20750,3295,29000
"2017-06-16",22700,31350,20500,3330,29000
"2017-06-19",22350,30950,20500,3400,29000
"2017-06-20",22600,30550,20600,3385,29000
"2017-06-21",22400,30650,20300,3295,29000
"2017-06-22",22000,30300,20200,3240,29000
"2017-06-23",22250,30300,20200,3235,29000
"2017-06-26",22300,30500,20600,3110,29000
"2017-06-27",21500,30000,20300,3135,29000
"2017-06-28",22200,30350,20250,3140,29000
"2017-06-29",22400,30150,20400,3180,29000
"2017-06-30",22300,31050,20200,3145,29000
"2017-07-03",22300,31200,20150,3175,29000
"2017-07-04",22050,30500,20000,3155,29000
"2017-07-05",21900,30650,20100,3130,29000
"2017-07-06",21950,30550,20000,3135,29000
"2017-07-07",22250,30500,20200,3135,29000
"2017-07-10",22300,30050,19950,3100,29000
"2017-07-11",22250,29900,20050,3100,29000
"2017-07-12",22500,29950,20200,3130,29000
"2017-07-13",22250,30000,20200,3170,29000
"2017-07-14",22800,29650,20000,3140,29000
"2017-07-17",22750,29800,20200,3140,29000
"2017-07-18",23350,29750,20350,3205,29000
"2017-07-19",23700,30400,20350,3220,29000
"2017-07-20",24250,30600,20400,3245,29000
"2017-07-21",23300,30550,20350,3220,29000
"2017-07-24",23300,30100,20450,3210,29000
"2017-07-25",23300,30000,20450,3135,29000
"2017-07-26",23700,31150,20400,3120,29000
"2017-07-27",23950,30100,20400,3150,29000
"2017-07-28",23400,29750,20250,3115,29000
"2017-07-31",23500,29400,20350,3100,29000
"2017-08-01",24800,29350,20400,3160,29000
"2017-08-02",24250,29000,20450,3150,29000
"2017-08-03",23500,28850,20350,3075,29000
"2017-08-04",24050,28950,20350,3035,29000
"2017-08-07",23900,29250,20450,3040,29000
"2017-08-08",23700,29300,20750,3040,29000
"2017-08-09",23500,29200,21000,3015,29000
"2017-08-10",23300,29250,21200,2985,29000
"2017-08-11",22900,29400,21400,3010,29000
"2017-08-14",22150,28750,21550,3145,29000
"2017-08-16",21800,28650,21750,3230,29000
"2017-08-17",21750,28700,22900,3300,29000
"2017-08-18",21750,28350,22800,3295,29000
"2017-08-21",21750,28150,22800,3380,29000
"2017-08-22",22000,28600,22850,3455,29000
"2017-08-23",21850,28350,22950,3405,29000
"2017-08-24",21800,28700,22450,3415,29000
"2017-08-25",21650,28750,22400,3510,29000
"2017-08-28",21700,28500,22900,3530,29000
"2017-08-29",21450,28450,22400,3620,29000
"2017-08-30",21500,28650,22600,3485,29000
"2017-08-31",21150,28850,22450,3500,29000
"2017-09-01",21350,28700,22650,3475,29000
"2017-09-04",21150,28500,22250,3385,29000
"2017-09-05",21000,28450,21850,3380,29000
"2017-09-06",20850,28250,21700,3335,29000
"2017-09-07",20950,28350,21950,3350,29000
"2017-09-08",21000,28650,21600,3285,29000
"2017-09-11",21150,28700,21150,3280,29000
"2017-09-12",21050,28750,21450,3320,29000
"2017-09-13",20850,28600,21300,3325,29000
"2017-09-14",20750,28700,21050,3240,29000
"2017-09-15",21000,30150,22200,3210,29000
"2017-09-18",21600,29900,21350,3250,29000
"2017-09-19",21350,29850,20900,3230,29000
"2017-09-20",20900,29450,20700,3120,29000
"2017-09-21",20450,29100,20900,3100,29000
"2017-09-22",19600,28150,20600,3010,29000
"2017-09-25",19150,27300,20650,2970,29000
"2017-09-26",19550,27350,20900,3020,29000
"2017-09-27",19300,27300,20800,3070,29000
"2017-09-28",19150,27150,20700,3035,29000
"2017-09-29",19300,27300,20900,3035,29000
"2017-10-10",19200,27350,20750,3025,29000
"2017-10-11",19200,27400,20800,3080,29000
"2017-10-12",19300,27550,21200,3065,29000
"2017-10-13",19100,27500,20800,3055,29000
"2017-10-16",19450,28300,21050,3010,29000
"2017-10-17",19350,27950,20800,3015,29000
"2017-10-18",19300,27400,22150,2955,29000
"2017-10-19",19600,27300,22150,3015,29000
"2017-10-20",19900,27950,22250,3110,29000
"2017-10-23",19500,27650,21550,3095,29000
"2017-10-24",19150,27600,21600,3100,29000
"2017-10-25",19950,28000,21900,3065,29000
"2017-10-26",19500,28600,21500,3080,29000
"2017-10-27",19800,28750,22050,3105,29000
"2017-10-30",19550,28750,22100,3095,29000
"2017-10-31",19400,29050,22100,3120,29000
"2017-11-01",19300,28650,21750,3120,29000
"2017-11-02",19200,29250,21850,3110,29000
"2017-11-03",19300,29600,21650,3155,29000
"2017-11-06",19800,29600,21650,3145,29000
"2017-11-07",21100,30900,21800,3210,29000
"2017-11-08",20750,31300,21850,3205,29000
"2017-11-09",20350,31000,21800,3285,29000
"2017-11-10",19850,29400,21400,3190,29000
"2017-11-13",19600,29300,21400,3155,29000
"2017-11-14",19500,28500,20800,3120,29000
"2017-11-15",18700,27600,20450,3080,29000
"2017-11-16",18800,27500,20650,3075,29000
"2017-11-17",18500,27200,20600,3120,29000
"2017-11-20",18850,26900,20450,3110,29000
"2017-11-21",18350,27350,20200,3065,29000
"2017-11-22",17950,26950,20200,3045,29000
"2017-11-23",18300,27400,20200,3060,29000
"2017-11-24",18350,27100,20100,3030,29000
"2017-11-27",18550,27050,20000,3080,29000
"2017-11-28",18350,27100,19950,3065,29000
"2017-11-29",18550,27250,20100,3025,29000
"2017-11-30",18550,27850,20400,3015,29000
"2017-12-01",18150,27600,20450,2995,29000
"2017-12-04",18200,27600,20500,3010,29000
"2017-12-05",18800,28200,20750,3060,29000
"2017-12-06",18550,27850,20600,3020,29000
"2017-12-07",17950,27450,20650,2965,29000
"2017-12-08",17600,27000,20650,2915,29000
"2017-12-11",17700,27400,20600,2910,29000
"2017-12-12",17950,27250,20050,2860,29000
"2017-12-13",18600,27800,20000,2900,29000
"2017-12-14",18000,27050,19700,2905,29000
"2017-12-15",18250,27800,19400,2930,29000
"2017-12-18",17900,27450,19550,2895,29000
"2017-12-19",18250,27200,19550,2810,29000
"2017-12-20",18100,27350,19700,2760,29000
"2017-12-21",17900,26900,19500,2690,29000
"2017-12-22",17850,26950,19700,2745,29000
"2017-12-26",18050,26950,19850,2795,29000
"2017-12-27",17850,27050,19550,2795,29000
"2017-12-28",18150,27150,19500,2795,29000
"2018-01-02",18750,27650,19750,2850,29000
"2018-01-03",19500,28550,19750,2845,29000
"2018-01-04",20000,29200,19850,2820,29000
"2018-01-05",19950,29350,19850,2900,29000
"2018-01-08",19800,29300,19600,2900,29000
"2018-01-09",20200,29500,19750,2875,29000
"2018-01-10",21550,30800,20100,2955,29000
"2018-01-11",20650,30400,20100,2940,29000
"2018-01-12",21500,31050,20000,2910,29000
"2018-01-15",21100,30750,19600,2895,29000
"2018-01-16",20700,30050,19650,3070,29000
"2018-01-17",20150,29200,19500,3115,29000
"2018-01-18",20000,29000,19800,3070,29000
"2018-01-19",20150,29450,19850,3170,29000
"2018-01-22",20500,29650,19700,3110,29000
"2018-01-23",20500,29800,19750,3105,29000
"2018-01-24",21350,30100,19850,3095,29000
"2018-01-25",24000,31500,20800,3425,29000
"2018-01-26",24050,30700,20500,3595,29000
"2018-01-29",24750,31050,21250,3950,29000
"2018-01-30",24550,30950,21000,4000,29000
"2018-01-31",24100,29950,20950,3965,29000
"2018-02-01",24600,30900,20950,4100,29000
"2018-02-02",24250,30350,20800,4155,29000
"2018-02-05",24000,29250,20450,3900,29000
"2018-02-06",22950,28850,19800,4110,29000
"2018-02-07",22000,28050,19650,3810,29000
"2018-02-08",22000,27850,19650,3815,29000
"2018-02-09",21300,27600,19150,3710,29000
"2018-02-12",20900,27800,19100,3660,29000
"2018-02-13",20300,27500,18850,3620,29000
"2018-02-14",20600,27500,18750,3640,29000
"2018-02-19",21400,27850,19000,3900,29000
"2018-02-20",20900,27750,18750,3800,29000
"2018-02-21",20800,27850,18950,3835,29000
"2018-02-22",21100,27600,18900,3855,29000
"2018-02-23",21250,27800,19100,3780,29000
"2018-02-26",21300,28000,19100,3770,29000
"2018-02-27",20400,27650,19050,3670,29000
"2018-02-28",20200,27150,18850,3690,29000
"2018-03-02",19400,26250,18400,3630,29000
"2018-03-05",19400,26000,18150,3455,29000
"2018-03-06",19600,26150,18000,3540,29000
"2018-03-07",19300,26200,17800,3550,29000
"2018-03-08",19700,26200,17900,3630,29000
"2018-03-09",20000,26300,18100,3615,29000
"2018-03-12",20650,26850,18300,3625,29000
"2018-03-13",20550,26600,18350,3560,29000
"2018-03-14",19950,26600,17950,3480,29000
"2018-03-15",21100,27100,17750,3510,29000
"2018-03-16",21100,27050,17550,3550,29000
"2018-03-19",20550,27200,17600,3485,29000
"2018-03-20",20700,27050,17750,3545,29000
"2018-03-21",21250,27000,17900,3525,29000
"2018-03-22",22450,27100,17800,3685,29000
"2018-03-23",22300,26300,17500,3505,29000
"2018-03-26",23300,27050,17850,3565,29000
"2018-03-27",23300,28150,18300,3815,29000
"2018-03-28",23300,28050,18050,3820,29000
"2018-03-29",22950,27000,17950,3780,29000
"2018-03-30",22900,27300,18250,3685,29000
"2018-04-02",22900,27250,18150,3640,29000
"2018-04-03",23200,27000,18350,3640,29000
"2018-04-04",22600,26500,18200,3420,29000
"2018-04-05",22950,26800,18200,3450,29000
"2018-04-06",22950,26300,18150,3365,29000
"2018-04-09",22250,26000,18200,3335,29000
"2018-04-10",23600,26350,18400,3285,29000
"2018-04-11",23550,26150,18400,3295,29000
"2018-04-12",23750,26400,18400,3275,29000
"2018-04-13",23500,26200,18400,3340,29000
"2018-04-16",23400,26700,18300,3350,29000
"2018-04-17",22650,26550,18200,3310,29000
"2018-04-18",22750,26600,18450,3440,29000
"2018-04-19",23650,27500,18600,3520,29000
"2018-04-20",23650,27100,18700,3565,29000
"2018-04-23",23550,27700,20300,3680,29000
"2018-04-24",24050,27500,20250,3750,29000
"2018-04-25",22650,26450,19950,3700,29000
"2018-04-26",23000,26400,21100,3760,29000
"2018-04-27",23150,26400,20450,3800,29000
"2018-04-30",22550,26450,22400,3995,29000
"2018-05-02",22650,27100,23900,4065,29000
"2018-05-03",22500,26650,22350,4100,29000
"2018-05-04",21800,27100,23500,4100,29000
"2018-05-08",22000,26200,23250,4055,29000
"2018-05-09",22050,25800,22550,4060,29000
"2018-05-10",23700,25800,22700,4650,29000
"2018-05-11",23150,26000,26400,4510,29000
"2018-05-14",25250,30300,34300,4605,29000
"2018-05-15",25600,30400,34900,4555,29000
"2018-05-16",23950,28300,31500,4235,29000
"2018-05-17",24400,28550,37450,4230,29000
"2018-05-18",25650,28850,38500,4295,29000
"2018-05-21",25100,28500,40000,4300,29000
"2018-05-23",24650,27500,41200,4270,29000
"2018-05-24",24150,27650,38800,4015,29000
"2018-05-25",23100,26350,31800,3850,29000
"2018-05-28",24150,28100,41300,4110,29000
"2018-05-29",23350,27200,40700,3900,29000
"2018-05-30",22900,26500,41400,3820,29000
"2018-05-31",22900,26350,40000,3795,29000
"2018-06-01",23350,26450,36700,3800,29000
"2018-06-04",23000,26800,36000,3825,29000
"2018-06-05",23900,27450,42000,3790,29000
"2018-06-07",23650,27100,43050,3880,29000
"2018-06-08",23550,26900,43000,3780,29000
"2018-06-11",24250,27850,49800,3860,29000
"2018-06-12",24150,27500,47900,3830,29000
"2018-06-14",23350,26400,40450,3640,29000
"2018-06-15",23150,26450,39800,3665,29000
"2018-06-18",21850,26150,41200,3540,29000
"2018-06-19",20950,25000,37900,3460,29000
"2018-06-20",21050,24650,38800,3540,29000
"2018-06-21",20350,23750,35400,3480,29000
"2018-06-22",20550,24000,35150,3455,29000
"2018-06-25",20300,23950,34300,3630,29000
"2018-06-26",20950,24000,30950,3515,29000
"2018-06-27",20150,23750,31950,3450,29000
"2018-06-28",21100,23850,31800,3400,29000
"2018-06-29",21400,24150,36250,3410,29000
"2018-07-02",20300,23100,31700,3210,29000
"2018-07-03",20550,22650,33600,3240,29000
"2018-07-04",21100,22800,32950,3320,29000
"2018-07-05",20650,22300,31600,3210,33500
"2018-07-06",20800,22750,33500,3315,26850
"2018-07-09",20350,22400,28300,3280,23250
"2018-07-10",21150,22750,28800,3430,24900
"2018-07-11",21200,22750,29950,3400,23200
"2018-07-12",20400,22600,30050,3420,22700
"2018-07-13",20700,22800,31900,3465,21700
"2018-07-16",20400,22550,31800,3400,20150
"2018-07-17",20300,22550,30750,3400,19900
