"","210980","034830","123890","034810","007680","056730","005110"
"2016-05-23",36821,3655,NA,19600,NA,5622,5515
"2016-05-24",36420,3630,NA,18800,NA,5315,5100
"2016-05-25",37421,3695,NA,19200,NA,5105,4230
"2016-05-26",37754,3550,NA,19050,NA,5201,4513
"2016-05-27",38088,3605,NA,20050,NA,5354,4246
"2016-05-30",37754,3515,NA,20150,NA,5870,3690
"2016-05-31",38155,3650,NA,20650,NA,5851,3670
"2016-06-01",37554,3605,NA,20800,NA,5928,3635
"2016-06-02",37154,3550,NA,20800,NA,5909,3537
"2016-06-03",37288,3485,NA,21250,NA,5583,3467
"2016-06-07",38021,3490,NA,21650,NA,5507,3478
"2016-06-08",38955,3480,NA,21500,NA,5373,3337
"2016-06-09",38822,3595,NA,20750,NA,5182,3365
"2016-06-10",39689,3695,NA,20600,NA,5909,3427
"2016-06-13",40156,3700,NA,20950,NA,6387,3416
"2016-06-14",39756,3920,NA,22200,NA,6960,3565
"2016-06-15",39155,3950,NA,21650,NA,6501,3690
"2016-06-16",39155,4020,NA,21000,NA,6348,3455
"2016-06-17",37955,3895,NA,20350,NA,6080,3459
"2016-06-20",38221,3870,NA,20700,NA,6080,3533
"2016-06-21",37354,3905,NA,20700,NA,6119,3443
"2016-06-22",37754,3960,NA,21000,NA,5851,3486
"2016-06-23",36954,3970,NA,20850,NA,5756,3392
"2016-06-24",34953,3845,NA,17450,NA,5641,3153
"2016-06-27",34753,3845,NA,17050,NA,5602,3263
"2016-06-28",35420,3795,NA,17000,NA,5583,3353
"2016-06-29",36154,3805,NA,17250,NA,5909,3396
"2016-06-30",36821,3730,NA,16950,NA,5870,3380
"2016-07-01",37554,3730,NA,17100,NA,5737,3572
"2016-07-04",38088,3770,NA,17050,NA,5583,3674
"2016-07-05",37754,3800,NA,17100,NA,5813,3670
"2016-07-06",36154,3825,NA,16700,NA,5718,3604
"2016-07-07",36020,3780,NA,16950,NA,5756,3545
"2016-07-08",35086,3780,NA,16700,NA,5622,3580
"2016-07-11",34753,3740,NA,16550,NA,5488,3619
"2016-07-12",35220,3675,NA,16850,NA,5411,3682
"2016-07-13",35220,3550,6590,16950,NA,5354,3690
"2016-07-14",34686,3550,6899,16800,NA,5315,3655
"2016-07-15",34152,3465,6796,16900,NA,5411,3604
"2016-07-18",33485,3385,6776,16800,NA,5774,3651
"2016-07-19",33252,3410,6968,16600,NA,5870,3623
"2016-07-20",33185,3410,6899,16650,NA,5909,3604
"2016-07-21",32685,3385,6803,16700,NA,5527,3655
"2016-07-22",33686,3350,6796,16600,NA,5392,3760
"2016-07-25",33752,3390,6487,16700,NA,5564,3862
"2016-07-26",33085,3350,6171,16700,NA,5583,3811
"2016-07-27",32985,3290,6226,16600,NA,5450,3753
"2016-07-28",33886,3375,6330,16950,NA,5392,3917
"2016-07-29",33619,3345,6232,16700,NA,5315,3839
"2016-08-01",34419,3300,5938,16850,NA,5067,3854
"2016-08-02",34820,3295,6205,16700,NA,5143,4113
"2016-08-03",33686,3230,6096,16400,NA,5411,4074
"2016-08-04",33819,3235,6330,16450,NA,5392,4191
"2016-08-05",33552,3280,6453,16500,NA,5239,4191
"2016-08-08",33352,3275,6343,16400,NA,5239,3972
"2016-08-09",33252,3285,6268,16400,NA,5105,4074
"2016-08-10",33119,3300,6123,16600,NA,4895,4035
"2016-08-11",33552,3345,6123,16450,NA,4800,4027
"2016-08-12",33419,3305,6185,16800,NA,4856,4058
"2016-08-16",33185,3275,6157,16750,NA,4800,4074
"2016-08-17",32852,3190,6117,16500,NA,4837,4027
"2016-08-18",32952,3065,5966,16400,NA,4819,4113
"2016-08-19",32918,3155,5869,16300,NA,4800,4160
"2016-08-22",32685,3110,6041,16000,NA,4800,4136
"2016-08-23",32351,3110,6179,16100,NA,4704,4136
"2016-08-24",32885,3050,6185,16000,NA,4742,4285
"2016-08-25",33152,3040,6157,15950,NA,4856,4215
"2016-08-26",32852,3050,6090,15900,NA,5354,4246
"2016-08-29",32418,2915,5972,15250,NA,5143,4403
"2016-08-30",33185,2895,5801,15300,NA,5048,4646
"2016-08-31",32885,2915,5697,15200,NA,4742,4669
"2016-09-01",33219,2890,5519,15050,NA,4742,4536
"2016-09-02",33552,2935,5519,15150,NA,4723,4724
"2016-09-05",33419,2990,5492,15350,NA,4436,4693
"2016-09-06",33119,2955,5431,15450,NA,4474,4685
"2016-09-07",32885,2925,5402,15150,NA,4187,4787
"2016-09-08",32518,2925,5451,14750,NA,3423,4896
"2016-09-09",32285,2980,5306,14600,NA,3900,4818
"2016-09-12",32418,2915,5197,14500,NA,3844,4466
"2016-09-13",32418,2915,5306,14450,NA,3825,4520
"2016-09-19",32151,2960,5471,14700,NA,4016,5695
"2016-09-20",32351,3170,5780,15050,NA,4130,5476
"2016-09-21",32151,3190,5828,14800,NA,3958,5257
"2016-09-22",32151,3175,5732,14900,NA,4054,5084
"2016-09-23",32652,3175,5869,15050,NA,3977,5037
"2016-09-26",32718,3220,5999,15200,NA,3920,5022
"2016-09-27",32552,3200,6130,15050,NA,3939,5053
"2016-09-28",32585,3200,6171,14800,NA,3813,4998
"2016-09-29",32285,3190,6240,14700,NA,3755,4701
"2016-09-30",31551,3150,6144,14800,NA,3649,4567
"2016-10-04",31651,3295,6315,15050,NA,3568,4552
"2016-10-05",31017,3250,6315,15100,NA,3557,4520
"2016-10-06",30784,3265,6240,15150,NA,3534,4544
"2016-10-07",29283,3300,6082,15150,NA,3748,4332
"2016-10-10",28883,3270,6308,15200,NA,3813,4340
"2016-10-11",29083,3240,6364,15600,NA,3671,4238
"2016-10-12",29250,3200,6308,15600,NA,2957,4238
"2016-10-13",29216,3150,6240,15350,NA,2957,4442
"2016-10-14",29450,3180,6179,15300,NA,2934,4277
"2016-10-17",28916,3110,5972,15000,NA,2884,4324
"2016-10-18",28549,3145,5856,14800,NA,2723,4371
"2016-10-19",27682,3210,5835,14750,NA,2612,4473
"2016-10-20",27182,3150,5869,14700,NA,2570,4505
"2016-10-21",26682,3250,5732,14750,NA,2635,4520
"2016-10-24",28149,3185,5732,14500,NA,2539,4481
"2016-10-25",30050,3180,5684,14350,NA,2440,4332
"2016-10-26",30217,3040,5402,14200,NA,2383,3839
"2016-10-27",30484,3020,5389,14400,NA,2394,3839
"2016-10-28",30684,2990,5546,14250,NA,2390,3745
"2016-10-31",30817,2940,5321,13700,NA,2215,3518
"2016-11-01",30751,2980,5321,13900,NA,2234,3561
"2016-11-02",30350,2890,5183,13300,NA,2188,3369
"2016-11-03",30317,2985,5526,13150,NA,2245,3384
"2016-11-04",29983,2950,5499,13100,NA,2180,3306
"2016-11-07",30317,2960,5471,13400,NA,2275,3549
"2016-11-08",30517,2970,5554,13700,NA,2390,3545
"2016-11-09",30450,2880,5526,13000,NA,2314,3212
"2016-11-10",30350,2955,5739,13400,NA,2371,3474
"2016-11-11",30550,3085,5925,13300,NA,2383,3553
"2016-11-14",30517,3120,5877,13550,NA,2512,3498
"2016-11-15",30350,3055,5938,13500,NA,2512,3525
"2016-11-16",29883,3155,6048,14200,NA,2512,3619
"2016-11-17",29750,3145,5966,14100,NA,2512,3686
"2016-11-18",28816,3150,5877,13900,NA,2512,3643
"2016-11-21",28349,3120,5931,13350,NA,2512,3525
"2016-11-22",28049,3090,5897,13200,NA,2512,3596
"2016-11-23",27816,3135,5828,12850,NA,2512,3518
"2016-11-24",26948,3030,5746,12800,NA,2512,3627
"2016-11-25",27215,2950,5594,12850,NA,2512,3737
"2016-11-28",28516,2955,5677,12950,NA,2512,3901
"2016-11-29",30150,2960,5739,12950,NA,2512,3792
"2016-11-30",30851,2965,5877,13050,NA,2512,3815
"2016-12-01",31184,2920,5883,12850,NA,2512,3862
"2016-12-02",31318,2900,5766,12800,NA,2512,3823
"2016-12-05",31284,2820,5712,12500,NA,2512,3592
"2016-12-06",31017,2805,5739,12600,NA,2512,3623
"2016-12-07",30984,2865,5945,12700,NA,2512,3784
"2016-12-08",30617,2860,5938,12850,NA,2512,3694
"2016-12-09",30384,2815,5904,12900,NA,2512,3898
"2016-12-12",30684,2850,5979,13450,NA,2512,4599
"2016-12-13",30150,2840,5986,13650,NA,2512,4599
"2016-12-14",31184,2840,6007,13450,NA,2512,4614
"2016-12-15",30917,2855,6048,13550,NA,2512,4661
"2016-12-16",30917,2875,6123,13450,NA,2516,4607
"2016-12-19",30717,2885,6151,13300,NA,2180,4779
"2016-12-20",30150,2880,6035,13600,NA,2084,4701
"2016-12-21",30117,2845,6110,13450,NA,2211,4693
"2016-12-22",29950,2800,6110,13150,NA,2211,4826
"2016-12-23",29883,2830,6082,13250,NA,2211,4920
"2016-12-26",29283,2835,6138,13400,NA,2211,4356
"2016-12-27",29150,2880,6274,13400,NA,2211,4489
"2016-12-28",29583,2865,6274,13650,NA,2211,4701
"2016-12-29",29450,2855,6267,13750,NA,2211,4638
"2017-01-02",29683,2815,6146,14250,NA,2211,4779
"2017-01-03",29283,2825,6033,14350,NA,2211,4834
"2017-01-04",28516,2790,6040,14800,NA,2211,4857
"2017-01-05",28316,2775,6176,14500,NA,2211,4818
"2017-01-06",27782,2805,6282,14500,NA,2211,4975
"2017-01-09",27549,2785,6320,14050,NA,2211,4967
"2017-01-10",27916,2765,6313,14050,NA,2211,4881
"2017-01-11",28216,2765,6237,14200,NA,2211,4646
"2017-01-12",27749,2760,6274,14100,NA,2211,4340
"2017-01-13",27749,2775,6290,14100,NA,2400,4309
"2017-01-16",27615,2760,6282,13900,NA,2302,4199
"2017-01-17",27615,2740,6259,13850,NA,2141,4058
"2017-01-18",27482,2740,6244,14550,NA,1971,4027
"2017-01-19",27149,2725,6230,14450,NA,2064,3713
"2017-01-20",28116,2700,6206,14450,NA,2172,3686
"2017-01-23",27249,2640,6388,14300,NA,2208,3424
"2017-01-24",27082,2725,6380,14100,NA,2240,3525
"2017-01-25",26782,2800,6274,14100,NA,2285,3322
"2017-01-26",26315,2800,6191,14200,NA,2266,3333
"2017-01-31",26415,2775,6222,14000,NA,2264,3063
"2017-02-01",26848,2815,6123,14150,NA,2222,3036
"2017-02-02",27182,2805,6002,14000,NA,2268,2127
"2017-02-03",27282,2815,6078,13700,NA,2270,1496
"2017-02-06",26882,2825,6026,13600,NA,2321,1500
"2017-02-07",26615,2835,6018,13600,NA,2309,1430
"2017-02-08",26048,2820,5934,13400,NA,2520,1504
"2017-02-09",26015,2855,6297,13350,NA,2621,1485
"2017-02-10",26582,2885,6327,13550,NA,2793,1434
"2017-02-13",25981,3025,6327,13600,NA,2846,1489
"2017-02-14",25881,3015,6342,13600,NA,3019,1504
"2017-02-15",25881,3070,6448,13700,NA,2909,1692
"2017-02-16",25915,3085,6304,13500,NA,2750,1692
"2017-02-17",25881,3090,6365,13600,NA,2789,1708
"2017-02-20",25448,3070,6365,13800,NA,2841,1649
"2017-02-21",25915,3070,6501,13800,NA,2918,1630
"2017-02-22",25915,3075,6471,13650,NA,3048,1673
"2017-02-23",26548,3165,6720,13700,NA,3144,1630
"2017-02-24",26815,3165,6720,13700,NA,3158,1594
"2017-02-27",26548,3160,6796,13700,NA,3201,1626
"2017-02-28",26515,3165,6766,13700,NA,3115,1622
"2017-03-02",26682,3120,6705,13700,NA,3081,1583
"2017-03-03",26315,3115,6749,13400,NA,3105,1543
"2017-03-06",25881,3175,6841,13450,NA,3091,1637
"2017-03-07",26315,3180,6720,13450,NA,3110,1590
"2017-03-08",26381,3230,6788,13600,NA,3048,1594
"2017-03-09",26381,3225,6645,13900,NA,3120,1563
"2017-03-10",26381,3250,6984,13900,NA,3110,1614
"2017-03-13",26315,3210,6931,13800,NA,3096,1606
"2017-03-14",25915,3190,6901,13750,NA,3048,1692
"2017-03-15",25681,3060,6758,13550,NA,3062,1622
"2017-03-16",25748,3060,6689,13550,NA,2995,1606
"2017-03-17",25881,3065,6637,13600,NA,2928,1583
"2017-03-20",25814,3040,6508,13400,NA,2947,1567
"2017-03-21",25748,3040,6417,13250,NA,3014,1539
"2017-03-22",25548,3050,6478,13150,NA,3005,1583
"2017-03-23",25681,3030,6365,13100,NA,3038,1532
"2017-03-24",26015,3035,6388,13200,NA,3024,1496
"2017-03-27",27315,3025,6554,13100,NA,3009,1461
"2017-03-28",27048,3030,6441,13150,NA,2976,1485
"2017-03-29",27582,3130,6455,13100,NA,2961,1465
"2017-03-30",27916,3125,6508,13150,NA,2961,1426
"2017-03-31",29183,3115,6494,13250,NA,2952,1485
"2017-04-03",29850,3115,6485,13300,NA,2861,1508
"2017-04-04",29350,3145,6554,13300,NA,2865,1449
"2017-04-05",28783,3210,6538,13200,NA,2856,1457
"2017-04-06",29750,3170,6494,13200,NA,2832,1434
"2017-04-07",28900,3150,6455,13300,NA,2784,1426
"2017-04-10",28050,3105,6448,12950,NA,2592,1351
"2017-04-11",27950,3045,6463,13050,NA,2544,1379
"2017-04-12",28000,3025,6380,12900,NA,2597,1375
"2017-04-13",28450,3060,6516,13050,NA,2779,1410
"2017-04-14",28050,3010,6417,12850,NA,2765,1371
"2017-04-17",28100,3060,6592,12900,NA,2918,1410
"2017-04-18",28100,3150,6546,13100,NA,2952,1406
"2017-04-19",27900,3110,6524,13300,NA,2952,1410
"2017-04-20",28250,3075,6508,13300,NA,2933,1387
"2017-04-21",28150,3055,6508,13600,NA,2861,1387
"2017-04-24",28050,3080,6395,13550,NA,2832,1328
"2017-04-25",28000,3060,6425,13800,NA,2774,1355
"2017-04-26",27900,3100,6516,14100,NA,2683,1375
"2017-04-27",27850,3140,6546,14000,NA,2798,1363
"2017-04-28",27600,3165,6599,14000,NA,3043,1347
"2017-05-02",27150,3145,6562,13900,NA,2923,1332
"2017-05-04",27050,3155,6705,13950,NA,2832,1351
"2017-05-08",27200,3165,6705,13950,NA,2837,1347
"2017-05-10",26900,3230,6742,13900,NA,2769,1347
"2017-05-11",27100,3320,6735,13800,NA,2774,1347
"2017-05-12",26750,3320,6825,13650,NA,2731,1336
"2017-05-15",27300,3345,6916,13750,NA,2688,1328
"2017-05-16",28850,3245,7000,13800,NA,2712,1300
"2017-05-17",29300,3390,7097,13700,NA,2664,1394
"2017-05-18",31050,3395,7045,13650,NA,2587,1363
"2017-05-19",31050,3405,6924,13850,NA,2506,1406
"2017-05-22",31050,3490,6991,13900,NA,2486,1394
"2017-05-23",30700,3535,7007,13950,NA,2520,1383
"2017-05-24",31500,3540,7029,13900,NA,2683,1398
"2017-05-25",31400,3545,7007,13650,NA,2640,1434
"2017-05-26",31250,3600,7037,13500,NA,2621,1410
"2017-05-29",32200,3495,7045,13600,NA,2496,1379
"2017-05-30",31350,3535,7037,13600,NA,2510,1441
"2017-05-31",30300,3575,7060,13650,NA,2544,1508
"2017-06-01",30500,3555,7052,13650,NA,2501,1473
"2017-06-02",30900,3590,7211,13700,NA,2530,1449
"2017-06-05",30400,3580,7233,13800,NA,2530,1422
"2017-06-07",30200,3475,7082,13950,NA,2458,1430
"2017-06-08",30450,3485,7157,13800,NA,2530,1414
"2017-06-09",32000,3520,7090,13750,NA,2621,1445
"2017-06-12",31700,3520,6909,13900,NA,2870,1449
"2017-06-13",31300,3655,7174,13950,NA,2971,1492
"2017-06-14",31450,3580,7143,13950,NA,3014,1469
"2017-06-15",31450,3570,7135,13900,NA,2966,1438
"2017-06-16",34000,3515,7045,13850,NA,3009,1441
"2017-06-19",34500,3560,7082,13750,NA,3081,1418
"2017-06-20",34800,3565,7105,13550,NA,3096,1367
"2017-06-21",35650,3400,7037,13450,NA,3053,1355
"2017-06-22",35000,3320,6977,13400,NA,2961,1351
"2017-06-23",34950,3375,6977,13450,NA,3053,1371
"2017-06-26",34950,3275,6984,13300,NA,2904,1336
"2017-06-27",34100,3180,6841,13400,NA,2880,1328
"2017-06-28",34100,3220,6825,13300,NA,2817,1308
"2017-06-29",34000,3270,6909,13300,NA,2918,1308
"2017-06-30",34800,3280,6961,13300,NA,2961,1285
"2017-07-03",34250,3265,6953,13450,NA,2846,1261
"2017-07-04",33750,3215,6961,13500,NA,2942,1269
"2017-07-05",34250,3330,7022,13350,NA,2942,1281
"2017-07-06",34700,3395,7165,13400,NA,2817,1297
"2017-07-07",35450,3400,7074,13350,NA,2741,1281
"2017-07-10",35050,3335,7022,13300,NA,2789,1277
"2017-07-11",35150,3430,7060,13200,NA,2832,1332
"2017-07-12",34750,3370,6953,13150,NA,3029,1285
"2017-07-13",36000,3400,7067,13050,NA,3091,1234
"2017-07-14",35800,3445,7135,13150,NA,3336,1210
"2017-07-17",35250,3525,7361,13200,NA,3317,1214
"2017-07-18",35500,3635,7589,13200,NA,3317,1214
"2017-07-19",35200,3695,7505,13200,NA,3168,1261
"2017-07-20",34850,3710,7701,13350,NA,2981,1253
"2017-07-21",34800,3700,7701,13200,NA,3000,1253
"2017-07-24",34600,3660,7852,13200,NA,3211,1230
"2017-07-25",34600,3615,7589,13200,NA,3240,1222
"2017-07-26",34500,3690,7740,13150,NA,3072,1210
"2017-07-27",34400,3695,7815,13050,NA,3057,1191
"2017-07-28",34200,3625,7701,13000,NA,3009,1152
"2017-07-31",34250,3615,7777,13000,NA,2913,1112
"2017-08-01",35100,3650,7852,12950,NA,2933,1132
"2017-08-02",34900,3580,7701,13050,NA,2966,1159
"2017-08-03",33250,3380,7045,12750,NA,2985,1120
"2017-08-04",33500,3395,7029,12700,NA,2909,1191
"2017-08-07",33400,3310,6961,12850,NA,2966,1206
"2017-08-08",33500,3480,7037,12900,NA,3029,1203
"2017-08-09",33000,3360,6773,12850,NA,2961,1163
"2017-08-10",33600,3420,6856,12700,NA,2909,1159
"2017-08-11",32950,3400,6735,12400,NA,2971,1402
"2017-08-14",32850,3400,6728,12100,NA,2899,1387
"2017-08-16",32600,3400,6698,12150,NA,2923,1351
"2017-08-17",32000,3500,6720,12050,NA,2841,1387
"2017-08-18",31800,3485,6856,12300,NA,2726,1332
"2017-08-21",31250,3480,6682,12250,NA,2371,1355
"2017-08-22",30200,3495,6818,12250,NA,3038,1332
"2017-08-23",30150,3575,6856,12650,NA,3595,1297
"2017-08-24",29550,3450,6796,12450,NA,3499,1316
"2017-08-25",28950,3505,6780,12650,NA,3254,1371
"2017-08-28",29300,3495,6735,12900,NA,3350,1336
"2017-08-29",29300,3505,6742,12850,NA,3355,1300
"2017-08-30",29750,3440,6749,12700,NA,3461,1328
"2017-08-31",29850,3395,7007,12700,NA,3566,1320
"2017-09-01",30450,3425,6909,12500,NA,3437,1320
"2017-09-04",29650,3355,6796,12200,NA,3269,1246
"2017-09-05",30100,3265,6803,12250,NA,2928,1214
"2017-09-06",29700,3155,6705,12300,NA,2971,1218
"2017-09-07",30000,3235,6689,12300,NA,2784,1226
"2017-09-08",29800,3230,6645,12300,NA,3341,1206
"2017-09-11",29600,3180,6516,12350,NA,3201,1226
"2017-09-12",29350,3160,6531,12300,NA,3336,1210
"2017-09-13",30000,3190,6667,12100,NA,3369,1167
"2017-09-14",30600,3165,6501,12150,NA,3485,1199
"2017-09-15",28350,3155,6485,12250,NA,3494,1230
"2017-09-18",27400,3175,6494,12250,NA,3408,1222
"2017-09-19",27900,3170,6395,12200,NA,3588,1195
"2017-09-20",27050,3120,6274,12200,NA,3323,1175
"2017-09-21",27200,3150,6313,12100,NA,3302,1167
"2017-09-22",26550,3180,6154,11750,NA,3196,1120
"2017-09-25",26000,3210,6055,11200,NA,3397,1062
"2017-09-26",25750,3200,6048,11200,NA,3312,1065
"2017-09-27",26700,3175,5988,11550,NA,3259,1081
"2017-09-28",28150,3290,6026,11500,NA,3180,1069
"2017-09-29",28200,3310,6313,11650,NA,3185,1109
"2017-10-10",28300,3270,6365,11750,NA,3004,1089
"2017-10-11",28250,3380,6297,11900,NA,2994,1120
"2017-10-12",27500,3420,6342,12000,NA,2866,1105
"2017-10-13",27050,3415,6403,11950,NA,2643,1101
"2017-10-16",26950,3360,6327,11950,NA,2585,1089
"2017-10-17",27600,3405,6342,11900,NA,2463,1069
"2017-10-18",27750,3335,6327,11600,NA,2580,1038
"2017-10-19",28150,3330,6342,11650,NA,2601,1058
"2017-10-20",29200,3385,6463,11650,NA,2681,1089
"2017-10-23",29500,3370,6342,11700,NA,2633,1097
"2017-10-24",29900,3330,6350,11750,NA,2543,1124
"2017-10-25",29900,3310,6350,11800,NA,2553,1124
"2017-10-26",30200,3255,6320,11850,NA,2516,1132
"2017-10-27",30350,3290,6388,12250,NA,2431,1132
"2017-10-30",30100,3300,6334,12350,NA,2346,1116
"2017-10-31",30100,3320,6373,12300,NA,2500,1124
"2017-11-01",29500,3305,6471,12300,NA,2314,1120
"2017-11-02",30050,3330,6645,12200,NA,2267,1148
"2017-11-03",29000,3340,6576,12050,NA,2261,1163
"2017-11-06",29250,3315,6569,12150,NA,2229,1152
"2017-11-07",29850,3360,6621,12250,NA,2293,1136
"2017-11-08",30000,3530,6766,12150,NA,2320,1136
"2017-11-09",29950,3460,6796,12150,NA,2293,1191
"2017-11-10",30000,3410,6621,12250,NA,2298,1222
"2017-11-13",30050,3340,6463,12300,NA,2373,1203
"2017-11-14",30250,3280,6327,12750,NA,2383,1187
"2017-11-15",29650,3220,6327,12500,NA,2336,1206
"2017-11-16",29650,3210,6327,12400,NA,2330,1328
"2017-11-17",29850,3250,6290,12500,NA,2399,1340
"2017-11-20",30000,3270,6206,12650,NA,2394,1347
"2017-11-21",29950,3280,6252,12400,NA,2468,1351
"2017-11-22",29600,3245,6154,12450,NA,2527,1367
"2017-11-23",30400,3245,6176,12500,NA,2505,1344
"2017-11-24",31200,3310,6146,12500,NA,2590,1387
"2017-11-27",30950,3285,6100,12300,NA,2697,1308
"2017-11-28",31450,3410,6199,12300,NA,3111,1265
"2017-11-29",31400,3370,6237,12200,NA,3132,1265
"2017-11-30",31500,3430,6230,12100,NA,2819,1238
"2017-12-01",31300,3430,6176,12200,13300,2612,1293
"2017-12-04",31600,3375,6267,12250,12000,3063,1277
"2017-12-05",32400,3335,6282,12300,11800,2914,1367
"2017-12-06",32650,3305,6282,12300,11550,3339,1359
"2017-12-07",32350,3230,6026,11950,11000,3238,1434
"2017-12-08",32850,3195,6026,12050,11000,2999,1363
"2017-12-11",32900,3175,5934,12150,11050,2803,1351
"2017-12-12",32750,3215,5927,12300,10950,2654,1391
"2017-12-13",32550,3160,5867,12300,10700,2739,1379
"2017-12-14",31900,3170,5958,12200,10700,2898,1391
"2017-12-15",32700,3170,5988,12250,10800,3058,1441
"2017-12-18",32900,3175,6100,12200,10550,3971,1430
"2017-12-19",32450,3175,6048,12200,10800,3705,1379
"2017-12-20",32150,3175,6116,12200,10700,3217,1351
"2017-12-21",32450,3175,6116,12100,10250,2792,1293
"2017-12-22",32200,3190,6169,12100,10600,2813,1300
"2017-12-26",31450,3205,6116,12100,10900,2813,1281
"2017-12-27",32000,3165,6074,12150,10750,2925,1289
"2017-12-28",33650,3130,6124,12250,10700,2654,1336
"2018-01-02",34700,3155,6050,12250,10800,2904,1351
"2018-01-03",34500,3155,5959,12300,10600,3774,1402
"2018-01-04",33600,3180,5842,12400,10750,3636,1367
"2018-01-05",33700,3185,5900,13800,11600,3652,1375
"2018-01-08",31600,3225,5859,14000,11650,4034,1363
"2018-01-09",32050,3190,5884,14000,11500,3907,1316
"2018-01-10",31350,3180,5851,15650,11350,4034,1324
