"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률","fics산업군"
"36","000810","삼성화재",182000,-1000,-0.55,"KOSPI","보험",8622220334000,15126,12.03,282791,0.64,8500,4.67,"보험"
"37","010950","S-Oil",72800,-800,-1.09,"KOSPI","화학",8196027257600,561,129.77,55715,1.31,200,0.27,"석유 및 가스"
"38","003670","포스코케미칼",132500,4500,3.52,"KOSPI","비금속광물",8080939150000,1569,84.45,15352,8.63,400,0.3,"화학"
"39","010130","고려아연",420000,2000,0.48,"KOSPI","철강금속",7.9254e+12,35811,11.73,355878,1.18,14000,3.33,"금속 및 광물"
"40","009540","한국조선해양",107500,-3000,-2.71,"KOSPI","운수장비",7608109970000,2183,49.24,163436,0.66,0,0,"조선"
"41","034220","LG디스플레이",21250,250,1.19,"KOSPI","전기전자",7603583625000,NA,NA,31694,0.67,0,0,"디스플레이 및 관련부품"
"42","086280","현대글로비스",188000,-1000,-0.53,"KOSPI","운수창고업",7.05e+12,13395,14.04,124541,1.51,3500,1.86,"육상운수"
"43","316140","우리금융지주",9740,-160,-1.62,"KOSPI","기타금융",7034887232420,2727,3.57,29782,0.33,700,7.19,"상업은행"
"44","097950","CJ제일제당",433500,-3500,-0.8,"KOSPI","음식료품",6525989631000,9516,45.55,297949,1.45,3500,0.81,"육상운수"
"45","068760","셀트리온제약",180800,-900,-0.5,"KOSDAQ","제약",6474563169600,236,766.1,7674,23.56,0,0,"제약"
"46","006800","미래에셋대우",9880,-120,-1.2,"KOSPI","증권",6375726111040,956,10.33,11236,0.88,260,2.63,"증권"
"47","024110","기업은행",8560,-70,-0.81,"KOSPI","은행",6322966921600,2242,3.82,33567,0.26,670,7.83,"상업은행"
"48","352820","빅히트",176000,2500,1.44,"KOSPI","서비스업",6269781760000,2951,59.64,6113,28.79,0,0,"미디어"
"49","030200","KT",23750,50,0.21,"KOSPI","통신업",6201405440000,2526,9.4,52341,0.45,1100,4.63,"무선통신"
"50","004020","현대제철",46000,600,1.32,"KOSPI","철강금속",6138506110000,130,353.85,126631,0.36,750,1.63,"금속 및 광물"
"51","003490","대한항공",32050,350,1.1,"KOSPI","운수창고업",5583421301650,NA,NA,23149,1.38,0,0,"항공운수"
"52","021240","코웨이",73000,-1000,-1.35,"KOSPI","서비스업",5387372187000,4611,15.83,14611,5,2400,3.29,"내구소비재"
"53","008930","한미사이언스",79700,4300,5.7,"KOSPI","기타금융",5261088575300,467,170.66,9607,8.3,200,0.25,"제약"
"54","011780","금호석유",172000,7000,4.24,"KOSPI","화학",5240442852000,10549,16.3,78488,2.19,1500,0.87,"화학"
"55","032640","LG유플러스",12000,-50,-0.41,"KOSPI","통신업",5239336332000,1005,11.94,16218,0.74,400,3.33,"무선통신"
"56","035250","강원랜드",24450,-150,-0.61,"KOSPI","서비스업",5230845225000,1651,14.81,17377,1.41,900,3.68,"호텔 및 레저"
"57","161390","한국타이어앤테크놀로지",42200,1300,3.18,"KOSPI","화학",5227527911800,3387,12.46,57774,0.73,550,1.3,"자동차부품"
"58","002790","아모레G",63100,2000,3.27,"KOSPI","화학",5203111158000,1444,43.7,35078,1.8,300,0.48,"개인생활용품"
"59","019170","신풍제약",98000,1200,1.24,"KOSPI","의약품",5192529020000,35,2800,3782,25.91,0,0,"제약"
"60","000720","현대건설",45150,0,0,"KOSPI","건설업",5027712789750,3656,12.35,59778,0.76,600,1.33,"건설"
"61","034020","두산중공업",13250,-50,-0.38,"KOSPI","기계",4963943628750,NA,NA,11643,1.14,0,0,"기계"
"62","028300","에이치엘비",93100,1900,2.08,"KOSDAQ","운송장비·부품",4935225134700,NA,NA,3835,24.28,0,0,"조선"
"63","000100","유한양행",73600,1000,1.38,"KOSPI","의약품",4920661216000,616,119.48,23178,3.18,400,0.54,"제약"
"64","071050","한국금융지주",88200,400,0.46,"KOSPI","기타금융",4915032494400,14467,6.1,81250,1.09,2900,3.29,"증권"
"65","006280","녹십자",415500,-3500,-0.84,"KOSPI","의약품",4855756539000,NA,NA,89738,4.63,1000,0.24,"제약"
"66","011070","LG이노텍",205000,16500,8.75,"KOSPI","전기전자",4851756935000,4323,47.42,93151,2.2,300,0.15,"전자 장비 및 기기"
"67","011200","HMM",14700,-250,-1.67,"KOSPI","운수창고업",4802876948100,NA,NA,3420,4.3,0,0,"해상운수"
"68","139480","이마트",172000,0,0,"KOSPI","유통업",4794640868000,7620,22.57,315997,0.54,2000,1.16,"도소매"
"69","271560","오리온",120000,-500,-0.41,"KOSPI","음식료품",4744335840000,5454,22,41042,2.92,600,0.5,"식료품"
"70","285130","SK케미칼",394500,2500,0.64,"KOSPI","화학",4631980722000,802,491.9,54214,7.28,450,0.11,"화학"
"71","096530","씨젠",174200,9200,5.58,"KOSDAQ","제약",4569966284000,1026,169.79,5815,29.96,100,0.06,"의료 장비 및 서비스"
"72","180640","한진칼",65800,600,0.92,"KOSPI","운수창고업",4360073158000,NA,NA,20882,3.15,255,0.39,"항공운수"
"73","196170","알테오젠",154500,5000,3.34,"KOSDAQ","기타서비스",4338808050000,NA,NA,2519,61.33,0,0,"바이오"
"74","128940","한미약품",363000,13000,3.71,"KOSPI","의약품",4299019527000,4352,83.41,60099,6.04,500,0.14,"제약"
"75","010140","삼성중공업",6810,-40,-0.58,"KOSPI","운수장비",4.2903e+12,NA,NA,8324,0.82,0,0,"조선"
"76","011790","SKC",111500,1500,1.36,"KOSPI","화학",4222315227000,1686,66.13,41542,2.68,1000,0.9,"화학"
"77","267250","현대중공업지주",267000,-1000,-0.37,"KOSPI","화학",4218230739000,11848,22.54,490707,0.54,18500,6.93,"석유 및 가스"
"78","247540","에코프로비엠",192700,2700,1.42,"KOSDAQ","일반전기전자",4053476488200,1750,110.11,18010,10.7,150,0.08,"전자 장비 및 기기"
"79","000120","CJ대한통운",167000,2000,1.21,"KOSPI","운수창고업",3809661448000,1349,123.8,131146,1.27,0,0,"육상운수"
"80","029780","삼성카드",32800,100,0.31,"KOSPI","기타금융",3800171624800,3225,10.17,59525,0.55,1600,4.88,"소비자 금융"
"81","036490","SK머티리얼즈",356200,27900,8.5,"KOSDAQ","반도체",3757081122600,13507,26.37,44730,7.96,3850,1.08,"석유 및 가스"
"82","004990","롯데지주",35400,-100,-0.28,"KOSPI","기타금융",3713786989800,NA,NA,63267,0.56,1100,3.11,"도소매"
"83","016360","삼성증권",41300,-600,-1.43,"KOSPI","증권",3.68809e+12,4388,9.41,55423,0.75,1700,4.12,"증권"
"84","336260","두산퓨얼셀",55500,1100,2.02,"KOSPI","전기전자",3634901793000,162,342.59,2277,24.37,0,0,"전자 장비 및 기기"
"85","035760","CJ ENM",164500,1500,0.92,"KOSDAQ","방송서비스",3607345833000,5310,30.98,134364,1.22,1400,0.85,"미디어"
"86","263750","펄어비스",273000,6100,2.29,"KOSDAQ","디지털컨텐츠",3600829050000,13002,21,45229,6.04,0,0,"게임 소프트웨어"
"87","078930","GS",38750,100,0.26,"KOSPI","기타금융",3600470897500,5745,6.74,93746,0.41,1900,4.9,"석유 및 가스"
"88","039490","키움증권",149000,0,0,"KOSPI","증권",3587519637000,14017,10.63,87976,1.69,2000,1.34,"증권"
"89","006360","GS건설",44000,-500,-1.12,"KOSPI","건설업",3551160932000,5590,7.87,49623,0.89,1000,2.27,"건설"
"90","012510","더존비즈온",116500,3500,3.1,"KOSPI","서비스업",3508747815500,1684,69.18,11427,10.2,470,0.4,"일반 소프트웨어"
"91","204320","만도",74700,-500,-0.66,"KOSPI","운수장비",3507696864000,2360,31.65,32193,2.32,550,0.74,"자동차부품"
"92","003410","쌍용양회",6870,30,0.44,"KOSPI","비금속광물",3461515417650,259,26.53,3566,1.93,42,0.61,"건축소재"
"93","293490","카카오게임즈",46350,700,1.53,"KOSDAQ","디지털컨텐츠",3435305754150,197,235.28,7443,6.23,0,0,"게임 소프트웨어"
"94","012750","에스원",87000,-500,-0.57,"KOSPI","서비스업",3305928486000,4337,20.06,34937,2.49,2500,2.87,"상업서비스"
"95","008770","호텔신라",83900,-400,-0.47,"KOSPI","유통업",3292917351900,4483,18.72,22979,3.65,350,0.42,"도소매"
"96","005940","NH투자증권",11650,0,0,"KOSPI","증권",3278413533550,1585,7.35,17934,0.65,500,4.29,"증권"
"97","241560","두산밥캣",32350,350,1.09,"KOSPI","기계",3243060520100,2716,11.91,39692,0.82,1200,3.71,"기계"
"98","026960","동서",32350,50,0.15,"KOSPI","유통업",3.225295e+12,1388,23.31,13419,2.41,700,2.16,"식료품"
"99","023530","롯데쇼핑",113500,-1500,-1.3,"KOSPI","유통업",3210773692500,NA,NA,376333,0.3,3800,3.35,"도소매"
"100","253450","스튜디오드래곤",106900,6900,6.9,"KOSDAQ","오락·문화",3207464480500,941,113.6,15242,7.01,0,0,"미디어"
"101","036460","한국가스공사",34300,-700,-2,"KOSPI","전기가스업",3166335900000,395,86.84,85073,0.4,380,1.11,"가스"
"102","001040","CJ",108500,-500,-0.46,"KOSPI","기타금융",3165704283000,8240,13.17,126448,0.86,1850,1.71,"육상운수"
"103","003090","대웅",54400,-100,-0.18,"KOSPI","기타금융",3162923712000,1446,37.62,10795,5.04,100,0.18,"제약"
"104","032500","케이엠더블유",79300,100,0.13,"KOSDAQ","통신장비",3157796021900,2654,29.88,5444,14.57,0,0,"통신장비"
"105","112610","씨에스윈드",180500,8000,4.64,"KOSPI","기계",3120071557500,1955,92.33,18709,9.65,460,0.25,"에너지 시설 및 서비스"
"106","047810","한국항공우주",31600,1550,5.16,"KOSPI","운수장비",3080213381200,1748,18.08,11714,2.7,400,1.27,"상업서비스"
"107","000990","DB하이텍",69200,5800,9.15,"KOSPI","전기전자",3072382289600,2410,28.71,14483,4.78,350,0.51,"반도체 및 관련장비"
"108","042660","대우조선해양",27050,-400,-1.46,"KOSPI","운수장비",2902212596450,NA,NA,35025,0.77,0,0,"조선"
"109","000210","대림산업",83000,0,0,"KOSPI","건설업",2.8884e+12,17223,4.82,153815,0.54,1300,1.57,"건설"
"110","307950","현대오토에버",137500,13500,10.89,"KOSPI","서비스업",2.8875e+12,2673,51.44,24259,5.67,710,0.52,"IT 서비스"
"111","081660","휠라홀딩스",47500,200,0.42,"KOSPI","유통업",2885730545000,4382,10.84,20448,2.32,219,0.46,"섬유 및 의복"
"112","005830","DB손해보험",40450,-1550,-3.69,"KOSPI","보험",2.86386e+12,5966,6.78,84026,0.48,1500,3.71,"보험"
"113","020150","일진머티리얼즈",60900,900,1.5,"KOSPI","전기전자",2808149851500,1016,59.94,12390,4.92,50,0.08,"전자 장비 및 기기"
"114","145020","휴젤",217300,-9200,-4.06,"KOSDAQ","제약",2753220335500,3641,59.68,55220,3.94,0,0,"바이오"
"115","047040","대우건설",6540,50,0.77,"KOSPI","건설업",2718172052520,508,12.87,5916,1.11,0,0,"건설"
"116","007070","GS리테일",35000,-250,-0.71,"KOSPI","유통업",2.695e+12,1729,20.24,28232,1.24,750,2.14,"도소매"
"117","028050","삼성엔지니어링",13500,-100,-0.74,"KOSPI","서비스업",2.646e+12,1493,9.04,6749,2,0,0,"건설"
"118","095700","제넥신",105600,5700,5.71,"KOSDAQ","기타서비스",2608084934400,NA,NA,12496,8.45,0,0,"바이오"
"119","088350","한화생명",2995,-25,-0.83,"KOSPI","보험",2601247350000,18,166.39,14606,0.21,30,1,"보험"
"120","028670","팬오션",4790,-35,-0.73,"KOSPI","운수창고업",2560587962480,284,16.87,5400,0.89,0,0,"해상운수"
"121","282330","BGF리테일",147000,2000,1.38,"KOSPI","유통업",2540734182000,8763,16.78,36022,4.08,2700,1.84,"도소매"
"122","011210","현대위아",92100,3500,3.95,"KOSPI","운수장비",2504667144300,2078,44.32,113690,0.81,700,0.76,"자동차부품"
"123","010060","OCI",105000,1500,1.45,"KOSPI","화학",2504183955000,NA,NA,110515,0.95,0,0,"화학"
"124","058470","리노공업",162500,11100,7.33,"KOSDAQ","반도체",2476885125000,3485,46.63,19694,8.25,1200,0.74,"반도체 및 관련장비"
"125","240810","원익IPS",49550,4100,9.02,"KOSDAQ","반도체",2432107294550,899,55.12,11543,4.29,0,0,"반도체 및 관련장비"
"126","008560","메리츠증권",3565,-75,-2.06,"KOSPI","증권",2409803556755,924,3.86,5695,0.63,200,5.61,"증권"
"127","004170","신세계",243500,0,0,"KOSPI","유통업",2397301573500,52658,4.62,398826,0.61,2000,0.82,"백화점"
"128","009240","한샘",101000,-1000,-0.98,"KOSPI","유통업",2376926728000,2423,41.68,25215,4.01,1200,1.19,"내구소비재"
"129","000080","하이트진로",33750,-350,-1.03,"KOSPI","음식료품",2367009371250,NA,NA,14488,2.33,700,2.07,"음료"
"130","030000","제일기획",20500,150,0.74,"KOSPI","서비스업",2358345112500,1363,15.04,8229,2.49,820,4,"미디어"
"131","000880","한화",31400,150,0.48,"KOSPI","화학",2353704279000,1051,29.88,45198,0.69,700,2.23,"복합 산업"
"132","006260","LS",72900,1200,1.67,"KOSPI","기타금융",2.34738e+12,912,79.93,98330,0.74,1450,1.99,"전기장비"
"133","066970","엘앤에프",81500,1000,1.24,"KOSDAQ","IT부품",2286786413500,NA,NA,5040,16.17,50,0.06,"전자 장비 및 기기"
"134","064350","현대로템",20950,150,0.72,"KOSPI","운수장비",2286531038350,NA,NA,9695,2.16,0,0,"운송인프라"
"135","185750","종근당",199500,4500,2.31,"KOSPI","의약품",2279506750500,4751,41.99,41506,4.81,900,0.45,"제약"
"136","272210","한화시스템",20250,1250,6.58,"KOSPI","전기전자",2232165377250,706,28.68,8786,2.3,310,1.53,"상업서비스"
"137","014680","한솔케미칼",196000,-1000,-0.51,"KOSPI","화학",2213858220000,7798,25.13,39713,4.94,1500,0.77,"화학"
"138","357780","솔브레인",278600,5000,1.83,"KOSDAQ","화학",2167108487600,NA,NA,NA,NA,0,0,"반도체 및 관련장비"
"139","078340","컴투스",166300,400,0.24,"KOSDAQ","디지털컨텐츠",2139685646000,9160,18.16,71478,2.33,1400,0.84,"게임 소프트웨어"
"140","010120","LS ELECTRIC",69800,1300,1.9,"KOSPI","전기전자",2.094e+12,3542,19.71,45353,1.54,1200,1.72,"전기장비"
"141","012450","한화에어로스페이스",41100,1950,4.98,"KOSPI","운수장비",2.080893e+12,2558,16.07,48217,0.85,0,0,"상업서비스"
"142","007310","오뚜기",561000,0,0,"KOSPI","음식료품",2059981341000,29693,18.89,354385,1.58,7500,1.34,"식료품"
"143","294870","HDC현대산업개발",31050,450,1.47,"KOSPI","건설업",2046422596500,8731,3.56,47095,0.66,500,1.61,"건설"
"144","005250","녹십자홀딩스",43400,-400,-0.91,"KOSPI","서비스업",2041024314000,59,735.59,16407,2.65,325,0.75,"제약"
"145","098460","고영",145500,9800,7.22,"KOSDAQ","기계·장비",1997853370500,2192,66.38,17763,8.19,550,0.38,"전자 장비 및 기기"
"146","278280","천보",194800,3100,1.62,"KOSDAQ","화학",1.948e+12,2348,82.96,21034,9.26,300,0.15,"디스플레이 및 관련부품"
"147","010620","현대미포조선",48400,-700,-1.43,"KOSPI","운수장비",1933200011600,1335,36.25,58022,0.83,350,0.72,"조선"
"148","001450","현대해상",21200,-400,-1.85,"KOSPI","보험",1.89528e+12,3161,6.71,50452,0.42,880,4.15,"보험"
"149","138930","BNK금융지주",5790,-60,-1.03,"KOSPI","기타금융",1887165074340,1647,3.52,25415,0.23,360,6.22,"상업은행"
"150","069620","대웅제약",162500,2500,1.56,"KOSPI","의약품",1882818437500,2132,76.22,44820,3.63,600,0.37,"제약"
"151","047050","포스코인터내셔널",15250,-100,-0.65,"KOSPI","유통업",1881471022250,1697,8.99,24703,0.62,700,4.59,"무역"
"152","069960","현대백화점",79700,100,0.13,"KOSPI","유통업",1865174547700,8639,9.23,181263,0.44,1000,1.25,"백화점"
"153","002380","KCC",206000,5000,2.49,"KOSPI","화학",1830613026000,NA,NA,421723,0.49,5500,2.67,"건축자재"
"154","005290","동진쎄미켐",35500,1550,4.57,"KOSDAQ","반도체",1825214537000,1138,31.2,6931,5.12,90,0.25,"반도체 및 관련장비"
"155","009420","한올바이오파마",34800,1350,4.04,"KOSPI","의약품",1817974202400,375,92.8,2688,12.95,0,0,"제약"
"156","006650","대한유화",276000,-2000,-0.72,"KOSPI","화학",1.794e+12,17218,16.03,273632,1.01,2500,0.91,"화학"
"157","000060","메리츠화재",14800,100,0.68,"KOSPI","보험",1.78525e+12,2693,5.5,21397,0.69,850,5.74,"보험"
"158","017800","현대엘리베이",43600,100,0.23,"KOSPI","기계",1779542327600,1190,36.64,22966,1.9,900,2.06,"기계"
"159","004370","농심",291500,-500,-0.17,"KOSPI","음식료품",1773090143000,12277,23.74,316955,0.92,4000,1.37,"식료품"
"160","042670","두산인프라코어",8160,50,0.62,"KOSPI","기계",1761847795200,1153,7.08,10677,0.76,0,0,"기계"
"161","009900","명신산업",43150,-300,-0.69,"KOSPI","운수장비",1759619028000,1419,30.41,2235,19.31,0,0,"자동차부품"
"162","268600","셀리버리",210000,4100,1.99,"KOSDAQ","기타서비스",1718872470000,NA,NA,3489,60.19,0,0,"바이오"
"163","010780","아이에스동서",54200,100,0.18,"KOSPI","비금속광물",1674379245200,2141,25.32,35551,1.52,700,1.29,"건설"
"164","237690","에스티팜",86900,5000,6.11,"KOSDAQ","제약",1621206400000,NA,NA,16132,5.39,0,0,"제약"
"165","235980","메드팩토",79500,-6700,-7.77,"KOSDAQ","기타서비스",1617255939000,NA,NA,3897,20.4,0,0,"제약"
"166","064760","티씨케이",136600,3200,2.4,"KOSDAQ","반도체",1.594805e+12,4011,34.06,18883,7.23,900,0.66,"반도체 및 관련장비"
"167","336370","솔루스첨단소재",51800,800,1.57,"KOSPI","전기전자",1584549464400,113,458.41,3551,14.59,0,0,"전자 장비 및 기기"
"168","004800","효성",74700,100,0.13,"KOSPI","기타금융",1574005567500,5100,14.65,115817,0.64,5000,6.69,"복합 산업"
"169","000250","삼천당제약",69000,2200,3.29,"KOSDAQ","제약",1570994829000,488,141.39,7142,9.66,50,0.07,"제약"
"170","003000","부광약품",24150,100,0.42,"KOSPI","의약품",1565837168700,NA,NA,4489,5.38,200,0.83,"제약"
"171","200130","콜마비앤에이치",52300,-200,-0.38,"KOSDAQ","제약",1545128083400,1844,28.36,8544,6.12,250,0.48,"식료품"
"172","060250","NHN한국사이버결제",66700,1600,2.46,"KOSDAQ","소프트웨어",1532191913100,1040,64.13,5192,12.85,230,0.34,"인터넷 서비스"
"173","007700","F&F",98400,900,0.92,"KOSPI","섬유의복",1.51536e+12,7158,13.75,31366,3.14,1000,1.02,"섬유 및 의복"
"174","323990","박셀바이오",2e+05,25500,14.61,"KOSDAQ","기타서비스",1.5046e+12,NA,NA,697,286.94,0,0,"제약"
"175","111770","영원무역",33700,-150,-0.44,"KOSPI","유통업",1493296471600,3791,8.89,41602,0.81,400,1.19,"섬유 및 의복"
"176","004000","롯데정밀화학",57600,2800,5.11,"KOSPI","화학",1.48608e+12,6611,8.71,57873,1,1700,2.95,"화학"
"177","013890","지누스",103000,-3000,-2.83,"KOSPI","기타제조업",1483895147000,5999,17.17,26336,3.91,1250,1.21,"내구소비재"
"178","001740","SK네트웍스",5950,980,19.72,"KOSPI","유통업",1476716499650,NA,NA,8713,0.68,120,2.02,"복합 산업"
"179","034230","파라다이스",15900,100,0.63,"KOSDAQ","오락·문화",1445988484800,177,89.83,13924,1.14,100,0.63,"호텔 및 레저"
"180","039030","이오테크닉스",116600,5600,5.05,"KOSDAQ","반도체",1436459530000,984,118.5,31593,3.69,150,0.13,"반도체 및 관련장비"
"181","056190","에스에프에이",40000,1350,3.49,"KOSDAQ","기계·장비",1436350400000,3939,10.15,24380,1.64,1056,2.64,"운송인프라"
"182","000240","한국앤컴퍼니",15350,-100,-0.65,"KOSPI","기타금융",1427859655550,1650,9.3,35269,0.44,350,2.28,"자동차부품"
"183","086520","에코프로",64500,0,0,"KOSDAQ","IT부품",1424817319500,946,68.18,12226,5.28,300,0.47,"전자 장비 및 기기"
"184","141080","레고켐바이오",60100,1700,2.91,"KOSDAQ","기타서비스",1423396740600,641,93.76,4741,12.68,0,0,"의료 장비 및 서비스"
"185","181710","NHN",72500,-1300,-1.76,"KOSPI","서비스업",1418464312500,656,110.52,80696,0.9,0,0,"게임 소프트웨어"
"186","030190","NICE평가정보",23150,450,1.98,"KOSDAQ","기타서비스",1405548083000,682,33.94,3692,6.27,230,0.99,"상업서비스"
"187","004490","세방전지",99000,300,0.3,"KOSPI","전기전자",1.386e+12,5701,17.37,75298,1.31,500,0.51,"자동차부품"
"188","140410","메지온",154300,2100,1.38,"KOSDAQ","기타서비스",1372144535800,NA,NA,4920,31.36,0,0,"식료품"
"189","035900","JYP Ent.",38500,2000,5.48,"KOSDAQ","오락·문화",1366653442000,947,40.65,4477,8.6,155,0.4,"미디어"
"190","003520","영진약품",7240,190,2.7,"KOSPI","의약품",1324143372440,28,258.57,633,11.44,0,0,"제약"
"191","069080","웹젠",37400,350,0.94,"KOSDAQ","디지털컨텐츠",1320627061600,1369,27.32,10064,3.72,0,0,"게임 소프트웨어"
"192","086450","동국제약",29200,-300,-1.02,"KOSDAQ","제약",1.298232e+12,1283,22.76,8031,3.64,160,0.55,"제약"
"193","022100","포스코 ICT",8500,110,1.31,"KOSDAQ","기타서비스",1292295196500,258,32.95,2402,3.54,50,0.59,"IT 서비스"
"194","138040","메리츠금융지주",9630,-30,-0.31,"KOSPI","기타금융",1290528761220,2797,3.44,19600,0.49,550,5.71,"보험"
"195","084850","아이티엠반도체",55600,1800,3.35,"KOSDAQ","반도체",1284793735600,2220,25.05,11668,4.77,0,0,"전자 장비 및 기기"
"196","039200","오스코텍",43550,550,1.28,"KOSDAQ","제약",1283709936600,NA,NA,1708,25.5,0,0,"의료 장비 및 서비스"
"197","178920","PI첨단소재",43550,1150,2.71,"KOSDAQ","화학",1278903323100,603,72.22,8557,5.09,315,0.72,"화학"
"198","214320","이노션",63400,400,0.63,"KOSPI","서비스업",1.268e+12,3681,17.22,38184,1.66,1500,2.37,"미디어"
"199","051600","한전KPS",28000,-200,-0.71,"KOSPI","건설업",1.26e+12,3407,8.22,23632,1.18,1920,6.86,"전력"
"200","093370","후성",13600,450,3.42,"KOSPI","화학",1259452738400,87,156.32,2295,5.93,15,0.11,"화학"
"201","046890","서울반도체",21500,300,1.42,"KOSDAQ","반도체",1253566100000,601,35.77,11339,1.9,156,0.73,"디스플레이 및 관련부품"
"202","298380","에이비엘바이오",27000,1000,3.85,"KOSDAQ","제약",1248648075000,NA,NA,2914,9.27,0,0,"바이오"
"203","108320","실리콘웍스",75000,7700,11.44,"KOSDAQ","반도체",1219822500000,2370,31.65,29033,2.58,830,1.11,"반도체 및 관련장비"
"204","031430","신세계인터내셔날",170000,-1000,-0.58,"KOSPI","유통업",1.2138e+12,10361,16.41,83650,2.03,1100,0.65,"섬유 및 의복"
